symbol,sector,industry,current_price,day_change_pct,low_52w,high_52w,distance_from_low_pct,distance_from_high_pct,rsi,sma50,sma200,avg_volume_20d,latest_volume,volume_ratio,trend,technical_score,technical_reasons,return_1m,return_3m,return_6m,nifty_return_1m,nifty_return_3m,nifty_return_6m,return_vs_nifty_1m,return_vs_nifty_3m,return_vs_nifty_6m,relative_strength_score,relative_strength_reasons,sector_rank_pct,range_status,range_score,range_low,range_high,range_width_pct,range_position_pct,range_reasons,company_name,sector_yf,industry_yf,sector_bucket,market_cap_cr,market_cap_cr_known,trailing_pe,trailing_pe_known,forward_pe,forward_pe_known,price_to_book,price_to_book_known,debt_to_equity,debt_to_equity_known,roe,roe_known,roa,roa_known,operating_margin,operating_margin_known,net_profit_margin,net_profit_margin_known,gross_margin,gross_margin_known,revenue_growth,revenue_growth_known,earnings_growth,earnings_growth_known,current_ratio,current_ratio_known,quick_ratio,quick_ratio_known,total_cash_cr,total_cash_cr_known,total_debt_cr,total_debt_cr_known,free_cashflow_cr,free_cashflow_cr_known,operating_cashflow_cr,operating_cashflow_cr_known,dividend_yield,dividend_yield_known,beta,beta_known,profitability_score,growth_score,balance_sheet_score,cashflow_score,valuation_score,fundamental_score,fundamental_data_coverage,fundamental_reasons,fundamental_risk_reasons,sector_adjustment,sector_adjusted_fundamental_score,sector_adjustment_reasons,sector_score,risk_penalty,risk_reasons,final_score,score_band,reasons,scan_time
AWFIS,Industrials,Rental & Leasing Services,272.0,-0.75,229.05,946.0,18.75,71.25,40.31,291.7,375.74,201595.05,351704.0,1.74,Bearish,23.0,"Weak but watchable RSI, Near 52W low zone, Volume expansion",-6.61,-14.17,-24.37,1.34,3.18,-5.69,-7.95,-17.35,-18.68,0.0,,84.12,Accumulation Zone,72.05,266.59,356.18,33.6,6.03,80.0% of closes stayed inside the range | Range width 33.6% | Currently 6.0% through the range,,,,Capital Goods / Infra,1812.34,,21.3713,,13.3289,,3.2792,,271.73,,12.83,,2.43,,11.11,,4.74,,83.63,,291.19,,227.19,,0.68,,0.68,,56.42,,1501.17,,405.77,,616.24,,,,1.061,,7.0,20.0,0.0,17.0,9.0,53.0,0.93,,Very high debt,5.0,58.0,Strong order-book-driven revenue growth,35.92,21.0,"Below 200 DMA, Far from 52W high, Very high debt",10.44,Avoid,"Weak but watchable RSI, Near 52W low zone, Volume expansion, 80.0% of closes stayed inside the range | Range width 33.6% | Currently 6.0% through the range",
CHOLAHLDNG,Financial Services,Credit Services,1584.7,2.19,510.06,2228.3,210.69,28.88,50.65,1579.11,1677.23,205173.85,85611.0,0.42,Bullish,45.0,"Above 50 DMA, Healthy RSI momentum, Strong positive day move",1.43,-5.18,-9.83,1.34,3.18,-5.69,0.09,-8.36,-4.14,8.0,Positive 1M return,76.0,Neutral Range,74.12,1429.82,1683.3,17.73,61.1,80.0% of closes stayed inside the range | Range width 17.7% | Currently 61.1% through the range,,,,Financial Services,28144.08,,10.6722,,7.8471,,1.8211,,1361.45,,15.8,,0.91,,16.08,,6.0,,75.67,,289.01,,290.15,,0.85,,,,8475.01,,210400.03,,-30392.98,,-30032.77,,9.0,,0.411,,10.0,20.0,0.0,0.0,15.0,45.0,0.93,,"Very high debt, Negative operating cash flow, Negative free cash flow",12.0,57.0,"High leverage is structural for this sector, Strong ROE for a leveraged-balance-sheet business",34.83,28.0,"Below 200 DMA, Low volume participation, Very high debt, Negative operating cash flow, Negative free cash flow",10.42,Avoid,"Above 50 DMA, Healthy RSI momentum, Strong positive day move, Positive 1M return, 80.0% of closes stayed inside the range | Range width 17.7% | Currently 61.1% through the range",
CROWN,Industrials,Rental & Leasing Services,108.87,1.47,28.85,325.05,277.41,66.51,41.47,112.66,124.39,14493.05,3347.0,0.23,Bearish,13.0,"Weak but watchable RSI, Positive day move",-4.25,-8.74,-15.97,1.34,3.18,-5.69,-5.59,-11.92,-10.28,0.0,,84.12,Accumulation Zone,72.91,110.65,132.68,19.91,0.0,80.0% of closes stayed inside the range | Range width 19.9% | Currently 0.0% through the range,,,,Capital Goods / Infra,115.26,,14.8196,,,,1.5235,,74.87,,11.46,,4.13,,41.21,,22.33,,66.68,,367.2,,432.09,,0.72,,,,0.15,,57.93,,-20.24,,9.49,,,,0.47,,14.0,20.0,4.0,9.0,10.0,57.0,0.86,,Negative free cash flow,5.0,62.0,Strong order-book-driven revenue growth,35.92,20.0,"Below 200 DMA, Far from 52W high, Low volume participation, Negative free cash flow",10.34,Avoid,"Weak but watchable RSI, Positive day move, 80.0% of closes stayed inside the range | Range width 19.9% | Currently 0.0% through the range",
BESTAGRO,Basic Materials,Agricultural Inputs,18.93,-0.58,12.3,116.75,53.9,83.79,56.59,16.51,19.25,5328082.35,719353.0,0.14,Bullish,35.0,"Above 50 DMA, Healthy RSI momentum",21.81,12.61,-1.71,1.34,3.18,-5.69,20.47,9.43,3.98,35.0,"Strong 1M absolute return, Positive 3M return, 1M Nifty outperformance",36.76,Profit Booking Zone,75.87,14.67,18.99,29.47,98.5,80.0% of closes stayed inside the range | Range width 29.5% | Currently 98.5% through the range,,,,General,624.58,,20.9643,,,,0.8124,,,,,,,,17.15,,10.26,,32.68,,-68.47,,358.29,,,,,,,,,,,,,,1.14,,0.048,,6.0,10.0,0.0,0.0,9.0,25.0,0.5,,Revenue contraction,0.0,25.0,,32.71,21.0,"Below 200 DMA, Far from 52W high, Low volume participation, Revenue contraction",10.16,Avoid,"Above 50 DMA, Healthy RSI momentum, Strong 1M absolute return, Positive 3M return, 1M Nifty outperformance, 80.0% of closes stayed inside the range | Range width 29.5% | Currently 98.5% through the range",
DHANBANK,Financial Services,Banks - Regional,32.26,-0.74,11.35,59.0,184.23,45.32,43.8,33.25,28.1,1889196.1,480964.0,0.25,Bearish,23.0,"Above 200 DMA, Weak but watchable RSI",-5.4,-2.77,34.92,1.34,3.18,-5.69,-6.74,-5.95,40.61,35.0,"Strong 6M absolute return, 6M Nifty outperformance",39.0,Profit Booking Zone,68.29,23.13,34.14,47.59,82.9,80.0% of closes stayed inside the range | Range width 47.6% | Currently 82.9% through the range,,,,Banking,1273.69,,11.0514,,,,0.8432,,56.75,,1.65,,0.11,,,,11.72,,0.0,,-73.92,,-75.76,,,,,,999.37,,858.71,,,,,,,,0.668,,3.0,0.0,7.0,0.0,10.0,20.0,0.57,Cash covers debt,"Revenue contraction, Earnings contraction",-5.0,15.0,Weak ROE for a leveraged-balance-sheet business,34.83,15.0,"Low volume participation, Revenue contraction, Earnings contraction",9.97,Avoid,"Above 200 DMA, Weak but watchable RSI, Cash covers debt, Strong 6M absolute return, 6M Nifty outperformance, 80.0% of closes stayed inside the range | Range width 47.6% | Currently 82.9% through the range",
BSL,Consumer Cyclical,Textile Manufacturing,122.08,-0.81,98.0,330.18,24.57,63.03,39.21,126.38,139.58,2515.8,1875.0,0.75,Bearish,13.0,"Weak but watchable RSI, Near 52W low zone",-3.2,-0.95,-14.55,1.34,3.18,-5.69,-4.54,-4.13,-8.86,0.0,,83.33,Accumulation Zone,71.91,120.22,130.63,8.66,17.91,80.0% of closes stayed inside the range | Range width 8.7% | Currently 17.9% through the range,,,,Consumer Discretionary,126.62,,34.8527,,118.2981,,1.056,,366.35,,1.98,,0.37,,4.99,,0.37,,42.57,,288.92,,100.85,,1.06,,0.45,,0.09,,439.29,,9.95,,49.42,,66.0,,0.555,,0.0,20.0,2.0,17.0,10.0,49.0,1.0,,Very high debt,0.0,49.0,,35.08,16.0,"Below 200 DMA, Very high debt",9.66,Avoid,"Weak but watchable RSI, Near 52W low zone, 80.0% of closes stayed inside the range | Range width 8.7% | Currently 17.9% through the range",
BAJAJCON,Consumer Defensive,Household & Personal Products,527.65,-1.97,140.27,692.0,276.18,23.75,41.9,574.35,415.85,584451.5,247752.0,0.42,Bearish,23.0,"Above 200 DMA, Weak but watchable RSI",-4.7,0.17,39.48,1.34,3.18,-5.69,-6.04,-3.01,45.17,45.0,"Positive 3M return, Strong 6M absolute return, 6M Nifty outperformance",28.95,Neutral Range,63.22,361.26,603.76,67.13,68.61,80.0% of closes stayed inside the range | Range width 67.1% | Currently 68.6% through the range,,,,FMCG / Consumer,6236.37,,28.3353,,21.0888,,8.4669,,,,,,,,23.3,,20.72,,61.47,,-70.4,,-62.8,,,,,,,,,,,,,,,,0.939,,11.0,0.0,0.0,0.0,7.0,18.0,0.43,,"Revenue contraction, Earnings contraction",0.0,18.0,,35.47,19.0,"Low volume participation, Revenue contraction, Earnings contraction, Limited fundamental data coverage",9.62,Avoid,"Above 200 DMA, Weak but watchable RSI, Positive 3M return, Strong 6M absolute return, 6M Nifty outperformance, 80.0% of closes stayed inside the range | Range width 67.1% | Currently 68.6% through the range",
ANURAS,Basic Materials,Specialty Chemicals,1207.8,0.28,567.48,1415.0,112.84,14.64,32.41,1254.68,1266.6,205893.9,138085.0,0.67,Bearish,13.0,"Weak but watchable RSI, Positive day move",-4.82,-11.28,-11.37,1.34,3.18,-5.69,-6.16,-14.46,-5.68,0.0,,84.56,Accumulation Zone,74.12,1217.56,1361.87,11.85,0.0,80.0% of closes stayed inside the range | Range width 11.9% | Currently 0.0% through the range,,,,Chemicals,14349.63,,81.9506,,33.6555,,4.2999,,,,,,,,18.15,,9.57,,46.18,,5.48,,44.09,,,,,,,,,,,,,,12.0,,0.105,,8.0,12.0,0.0,0.0,7.0,27.0,0.5,,Very high PE,0.0,27.0,,32.71,8.0,Below 200 DMA,9.61,Avoid,"Weak but watchable RSI, Positive day move, 80.0% of closes stayed inside the range | Range width 11.9% | Currently 0.0% through the range",
CUB,Financial Services,Banks - Regional,210.52,-2.47,86.5,243.1,143.37,13.4,47.62,209.71,201.21,3977419.65,1974875.0,0.5,Bullish,42.0,"Above 50 DMA, Above 200 DMA, RSI recovering",-3.8,12.83,-1.07,1.34,3.18,-5.69,-5.14,9.65,4.62,10.0,Positive 3M return,66.0,Profit Booking Zone,75.4,181.9,219.26,20.54,76.6,80.0% of closes stayed inside the range | Range width 20.5% | Currently 76.6% through the range,,,,Banking,22019.26,,15.7171,,11.4831,,2.0841,,,,,,,,,,35.97,,0.0,,-72.48,,-71.15,,,,,,,,,,,,,,87.0,,0.344,,6.0,0.0,0.0,0.0,15.0,21.0,0.43,,"Revenue contraction, Earnings contraction",0.0,21.0,,34.83,16.0,"Revenue contraction, Earnings contraction, Limited fundamental data coverage",9.57,Avoid,"Above 50 DMA, Above 200 DMA, RSI recovering, Positive 3M return, 80.0% of closes stayed inside the range | Range width 20.5% | Currently 76.6% through the range",
BOMDYEING,Consumer Cyclical,Textile Manufacturing,115.58,-0.56,52.4,253.72,120.58,54.45,32.11,125.47,124.56,480274.65,668973.0,1.39,Bearish,18.0,"Weak but watchable RSI, Volume expansion",-7.46,-4.05,-3.04,1.34,3.18,-5.69,-8.8,-7.23,2.65,0.0,,83.33,Neutral Range,66.03,102.79,131.02,27.47,45.3,80.0% of closes stayed inside the range | Range width 27.5% | Currently 45.3% through the range,,,,Consumer Discretionary,2445.37,,120.8163,,,,1.0703,,0.14,,1.18,,0.91,,-5.34,,1.86,,29.44,,346.98,,373.3,,2.59,,1.89,,22.28,,3.15,,-256.33,,-182.05,,34.0,,0.325,,0.0,20.0,20.0,0.0,6.0,46.0,1.0,Cash covers debt,"Negative operating cash flow, Negative free cash flow, Very high PE",2.0,48.0,General low-debt support,35.08,17.0,"Below 200 DMA, Negative operating cash flow, Negative free cash flow",9.56,Avoid,"Weak but watchable RSI, Volume expansion, Cash covers debt, 80.0% of closes stayed inside the range | Range width 27.5% | Currently 45.3% through the range",
