symbol,sector,industry,current_price,day_change_pct,low_52w,high_52w,distance_from_low_pct,distance_from_high_pct,rsi,sma50,sma200,avg_volume_20d,latest_volume,volume_ratio,trend,technical_score,technical_reasons,return_1m,return_3m,return_6m,nifty_return_1m,nifty_return_3m,nifty_return_6m,return_vs_nifty_1m,return_vs_nifty_3m,return_vs_nifty_6m,relative_strength_score,relative_strength_reasons,sector_rank_pct,range_status,range_score,range_low,range_high,range_width_pct,range_position_pct,range_reasons,company_name,sector_yf,industry_yf,sector_bucket,market_cap_cr,market_cap_cr_known,trailing_pe,trailing_pe_known,forward_pe,forward_pe_known,price_to_book,price_to_book_known,debt_to_equity,debt_to_equity_known,roe,roe_known,roa,roa_known,operating_margin,operating_margin_known,net_profit_margin,net_profit_margin_known,gross_margin,gross_margin_known,revenue_growth,revenue_growth_known,earnings_growth,earnings_growth_known,current_ratio,current_ratio_known,quick_ratio,quick_ratio_known,total_cash_cr,total_cash_cr_known,total_debt_cr,total_debt_cr_known,free_cashflow_cr,free_cashflow_cr_known,operating_cashflow_cr,operating_cashflow_cr_known,dividend_yield,dividend_yield_known,beta,beta_known,profitability_score,growth_score,balance_sheet_score,cashflow_score,valuation_score,fundamental_score,fundamental_data_coverage,fundamental_reasons,fundamental_risk_reasons,sector_adjustment,sector_adjusted_fundamental_score,sector_adjustment_reasons,sector_score,risk_penalty,risk_reasons,final_score,score_band,reasons,scan_time
OFSS,Technology,Software - Infrastructure,11855.0,0.47,6060.86,12060.0,95.6,1.7,57.72,11303.46,8736.14,197543.6,186762.0,0.95,Bullish,65.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive day move",6.46,14.6,77.86,-0.93,3.03,-6.31,7.39,11.57,84.17,88.0,"Positive 1M return, Positive 3M return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",12.9,Profit Booking Zone,75.06,6627.72,11737.2,77.09,100.0,79.8% of closes stayed inside the range | Range width 77.1% | Currently 100.0% through the range,Oracle Financial Services Software Limited,Technology,Software - Infrastructure,IT / Technology,102087.33,True,29.9402,True,25.8608,True,14.7364,True,0.567,True,49.9,True,30.94,True,59.57,True,38.15,True,58.6,True,68.7,True,120.2,True,4.413,True,3.946,True,4773.4,True,39.3,True,3088.42,True,3601.2,True,5.67,True,0.496,True,25.0,20.0,20.0,17.0,9.0,91.0,1.0,"Strong ROE, Cash covers debt",,10.0,100.0,"Strong ROE for an asset-light business, Strong operating margin",33.67,0.0,,78.3,High Conviction,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive day move, Strong ROE, Cash covers debt, Positive 1M return, Positive 3M return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 77.1% | Currently 100.0% through the range",2026-08-29 02:43 IST
LAURUSLABS,Healthcare,Drug Manufacturers - Specialty & Generic,1929.4,2.25,821.6,1930.0,134.83,0.03,74.01,1664.11,1244.68,1976079.2,4249869.0,2.15,Bullish,72.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Strong volume expansion, Strong positive day move",8.31,39.55,76.74,-0.93,3.03,-6.31,9.24,36.52,83.05,98.0,"Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",15.77,Breakout Watch,76.81,1037.61,1817.96,75.21,100.0,79.8% of closes stayed inside the range | Range width 75.2% | Currently 100.0% through the range | Above upper band on elevated volume,Laurus Labs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,Pharma / Healthcare,97364.26,True,89.2963,True,63.7692,True,18.355,True,46.369,True,,False,,False,25.39,True,15.04,True,59.45,True,29.1,True,125.2,True,,False,,False,113.7,True,2518.48,True,,False,,False,13.0,True,0.357,True,11.0,20.0,7.0,0.0,5.0,43.0,0.57,,Very high PE,2.0,45.0,General low-debt support,43.48,0.0,,64.77,Watchlist,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Strong volume expansion, Strong positive day move, Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 75.2% | Currently 100.0% through the range | Above upper band on elevated volume",2026-08-29 02:43 IST
APARINDS,Industrials,Electrical Equipment & Parts,17900.0,4.91,6801.0,18465.0,163.2,3.06,66.85,15350.74,11593.92,184189.35,214866.0,1.17,Bullish,75.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support, Strong positive day move",30.23,34.89,65.63,-0.93,3.03,-6.31,31.16,31.86,71.94,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",5.19,Profit Booking Zone,78.42,9876.6,16656.2,68.64,100.0,79.8% of closes stayed inside the range | Range width 68.6% | Currently 100.0% through the range,APAR Industries Limited,Industrials,Electrical Equipment & Parts,Capital Goods / Infra,70580.01,True,57.4721,True,44.8226,True,12.5544,True,17.716,True,,False,,False,10.8,True,4.84,True,21.59,True,29.1,True,77.4,True,,False,,False,776.19,True,955.51,True,,False,,False,38.0,True,0.152,True,3.0,20.0,9.0,0.0,7.0,39.0,0.57,,,5.0,44.0,Strong order-book-driven revenue growth,36.03,0.0,,64.55,Watchlist,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support, Strong positive day move, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 68.6% | Currently 100.0% through the range",2026-08-29 02:43 IST
TDPOWERSYS,Industrials,Specialty Industrial Machinery,740.6,1.76,245.96,798.85,201.11,7.29,60.74,626.9,496.5,3600205.4,2552484.0,0.71,Bullish,65.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive day move",40.24,20.05,68.19,-0.93,3.03,-6.31,41.17,17.02,74.5,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",5.19,Profit Booking Zone,77.52,430.62,691.91,60.68,100.0,79.8% of closes stayed inside the range | Range width 60.7% | Currently 100.0% through the range,TD Power Systems Limited,Industrials,Specialty Industrial Machinery,Capital Goods / Infra,47955.88,True,173.8165,True,51.5899,True,22.3706,True,1.689,True,,False,,False,17.88,True,12.95,True,32.66,True,72.1,True,72.0,True,,False,,False,143.64,True,18.11,True,,False,,False,14.0,True,0.522,True,8.0,20.0,12.0,0.0,5.0,45.0,0.57,Cash covers debt,Very high PE,5.0,50.0,Strong order-book-driven revenue growth,36.03,0.0,,64.15,Watchlist,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive day move, Cash covers debt, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 60.7% | Currently 100.0% through the range",2026-08-29 02:43 IST
SONACOMS,Consumer Cyclical,Auto Parts,819.0,3.02,399.84,844.0,104.83,2.96,64.3,725.08,575.85,2172367.1,1914972.0,0.88,Bullish,70.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong positive day move",7.23,34.36,50.62,-0.93,3.03,-6.31,8.16,31.33,56.93,98.0,"Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",10.1,Profit Booking Zone,79.05,508.64,800.9,57.46,100.0,79.8% of closes stayed inside the range | Range width 57.5% | Currently 100.0% through the range,Sona BLW Precision Forgings Limited,Consumer Cyclical,Auto Parts,Automobile,51009.3,True,73.0,True,48.5916,True,8.4979,True,7.213,True,,False,,False,16.64,True,14.21,True,49.92,True,52.4,True,44.3,True,,False,,False,1228.9,True,442.29,True,,False,,False,44.0,True,0.449,True,8.0,20.0,12.0,0.0,5.0,45.0,0.57,Cash covers debt,,2.0,47.0,General low-debt support,35.33,0.0,,63.75,Watchlist,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong positive day move, Cash covers debt, Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 57.5% | Currently 100.0% through the range",2026-08-29 02:43 IST
DIVISLAB,Healthcare,Drug Manufacturers - Specialty & Generic,9060.0,0.39,5613.35,9150.0,61.4,0.98,78.87,7610.42,6668.92,497756.6,527307.0,1.06,Bullish,57.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Normal volume support, Positive day move",15.63,39.25,42.25,-0.93,3.03,-6.31,16.56,36.22,48.56,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",7.38,Profit Booking Zone,78.86,6036.31,8484.4,40.56,100.0,79.8% of closes stayed inside the range | Range width 40.6% | Currently 100.0% through the range,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,Pharma / Healthcare,228223.33,True,88.492,True,57.1871,True,13.6163,True,0.042,True,,False,,False,36.66,True,26.05,True,61.24,True,27.8,True,65.7,True,,False,,False,3233.0,True,7.0,True,,False,,False,35.0,True,0.22,True,12.0,20.0,12.0,0.0,5.0,49.0,0.57,Cash covers debt,Very high PE,2.0,51.0,General low-debt support,43.48,0.0,,63.62,Watchlist,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Normal volume support, Positive day move, Cash covers debt, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 40.6% | Currently 100.0% through the range",2026-08-29 02:43 IST
MEDANTA,Healthcare,Medical Care Facilities,1508.9,3.43,955.66,1544.0,57.89,2.27,67.61,1375.38,1206.32,302235.2,1109587.0,3.67,Bullish,85.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong volume expansion, Strong positive day move",6.57,25.91,30.69,-0.93,3.03,-6.31,7.5,22.88,37.0,98.0,"Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",15.77,Breakout Watch,85.39,1039.65,1416.16,36.21,100.0,79.8% of closes stayed inside the range | Range width 36.2% | Currently 100.0% through the range | Above upper band on elevated volume,Global Health Limited,Healthcare,Medical Care Facilities,Pharma / Healthcare,37881.3,True,68.4985,True,41.8015,True,9.5592,True,29.869,True,,False,,False,16.7,True,11.88,True,52.79,True,26.5,True,-0.2,True,,False,,False,1130.23,True,1190.05,True,,False,,False,4.0,True,0.14,True,6.0,10.0,7.0,0.0,5.0,28.0,0.57,,Earnings contraction,2.0,30.0,General low-debt support,43.48,0.0,,62.77,Watchlist,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong volume expansion, Strong positive day move, Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 36.2% | Currently 100.0% through the range | Above upper band on elevated volume",2026-08-29 02:43 IST
WELCORP,Basic Materials,Steel,2405.8,4.3,707.65,2437.3,239.97,1.29,81.81,1722.63,1153.24,2466353.25,4076090.0,1.65,Bullish,67.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Volume expansion, Strong positive day move",45.37,74.05,192.62,-0.93,3.03,-6.31,46.3,71.02,198.93,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",4.14,Breakout Watch,72.04,828.81,1852.32,123.49,100.0,79.8% of closes stayed inside the range | Range width 123.5% | Currently 100.0% through the range | Above upper band on elevated volume,Welspun Corp Limited,Basic Materials,Steel,Metals / Mining,60965.71,True,26.3855,True,22.4747,True,6.6611,True,25.042,True,,False,,False,13.91,True,13.35,True,38.4,True,14.9,True,198.3,True,,False,,False,3763.73,True,2355.45,True,,False,,False,22.0,True,0.473,True,8.0,15.0,10.0,0.0,9.0,42.0,0.57,Cash covers debt,,2.0,44.0,General low-debt support,36.33,0.0,,62.6,Watchlist,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Volume expansion, Strong positive day move, Cash covers debt, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 123.5% | Currently 100.0% through the range | Above upper band on elevated volume",2026-08-29 02:43 IST
LENSKART,Healthcare,Medical Instruments & Supplies,640.6,-1.01,356.1,673.9,79.89,4.94,68.58,565.3,499.02,8159377.2,11600580.0,1.42,Bullish,70.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Volume expansion",13.74,22.21,24.93,-0.93,3.03,-6.31,14.67,19.18,31.24,95.0,"Strong 1M absolute return, Strong 3M absolute return, Positive 6M return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",20.47,Breakout Watch,84.88,495.06,587.0,18.57,100.0,79.8% of closes stayed inside the range | Range width 18.6% | Currently 100.0% through the range | Above upper band on elevated volume,LENSKART SOLUTIONS LTD,Healthcare,Medical Instruments & Supplies,Pharma / Healthcare,114556.18,True,175.4377,True,95.0584,True,13.1426,True,34.983,True,,False,,False,10.46,True,6.8,True,68.97,True,43.3,True,258.1,True,,False,,False,3674.03,True,3096.6,True,,False,,False,,False,,False,6.0,20.0,10.0,0.0,3.0,39.0,0.5,Cash covers debt,Very high PE,2.0,41.0,General low-debt support,43.48,0.0,,62.12,Watchlist,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Volume expansion, Cash covers debt, Strong 1M absolute return, Strong 3M absolute return, Positive 6M return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 18.6% | Currently 100.0% through the range | Above upper band on elevated volume",2026-08-29 02:43 IST
ANANDRATHI,Financial Services,Asset Management,2182.9,0.16,1351.2,2230.0,61.55,2.11,63.33,2073.71,1719.43,206947.5,124936.0,0.6,Bullish,65.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive day move",7.04,23.35,42.34,-0.93,3.03,-6.31,7.97,20.32,48.65,98.0,"Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",2.47,Profit Booking Zone,80.73,1550.31,2159.28,39.28,100.0,79.8% of closes stayed inside the range | Range width 39.3% | Currently 100.0% through the range,Anand Rathi Wealth Limited,Financial Services,Asset Management,Financial Services,36329.83,True,79.3616,True,65.0126,True,36.3969,True,8.25,True,,False,,False,48.53,True,33.19,True,57.81,True,52.1,True,71.0,True,,False,,False,454.8,True,83.48,True,,False,,False,32.0,True,0.337,True,12.0,20.0,12.0,0.0,5.0,49.0,0.57,Cash covers debt,,-4.0,45.0,Expensive relative to book value for this sector,36.73,0.0,,62.01,Watchlist,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive day move, Cash covers debt, Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 79.8% of closes stayed inside the range | Range width 39.3% | Currently 100.0% through the range",2026-08-29 02:43 IST
