symbol,sector,industry,current_price,day_change_pct,distance_from_low_pct,distance_from_high_pct,rsi,sma50,sma200,volume_ratio,trend,technical_score,technical_reasons,relative_strength_score,return_1m,return_3m,return_6m,sector_bucket,fundamental_score,sector_adjustment,sector_adjusted_fundamental_score,debt_to_equity,net_profit_margin,revenue_growth,earnings_growth,operating_cashflow_cr,free_cashflow_cr,fundamental_data_coverage,sector_score,risk_penalty,risk_reasons,final_score,score_band,reasons
SIMPLEXINF,Industrials,Engineering & Construction,242.15,-3.04,76.75,26.62,38.68,251.28,241.34,1.71,Bearish,33.0,"Above 200 DMA, Weak but watchable RSI, Volume expansion",0.0,-3.45,,,Capital Goods / Infra,28.0,0.0,28.0,167.84,3.92,0.3,-67.9,74.37,152.77,0.93,25.48,7.0,Earnings contraction,14.87,Avoid,"Above 200 DMA, Weak but watchable RSI, Volume expansion"
HALEOSLABS,Healthcare,Biotechnology,1523.7,-3.01,42.98,14.11,48.21,1515.4,1342.34,0.22,Bullish,42.0,"Above 50 DMA, Above 200 DMA, RSI recovering",15.0,10.73,,,IT / Technology,17.0,0.0,17.0,48.15,4.88,-11.0,-36.4,,,0.57,31.13,10.0,"Low volume participation, Earnings contraction",14.87,Avoid,"Above 50 DMA, Above 200 DMA, RSI recovering"
ABDL,Consumer Defensive,Beverages - Wineries & Distilleries,615.7,-0.6,62.53,13.49,45.67,601.95,554.87,0.44,Bullish,42.0,"Above 50 DMA, Above 200 DMA, RSI recovering",0.0,-0.78,,,FMCG / Consumer,11.0,0.0,11.0,68.25,5.55,6.1,-12.9,,,0.57,23.41,3.0,Low volume participation,14.86,Avoid,"Above 50 DMA, Above 200 DMA, RSI recovering"
INDIASHLTR,Financial Services,Mortgage Finance,770.55,-5.47,19.52,22.78,42.6,776.27,792.45,1.93,Bearish,23.0,"Weak but watchable RSI, Near 52W low zone, Volume expansion",0.0,-0.21,,,Financial Services,60.0,6.0,66.0,195.3,48.16,28.0,27.3,-1185.0,,0.93,26.61,18.0,"Below 200 DMA, Sharp daily fall, Negative operating cash flow",14.84,Avoid,"Weak but watchable RSI, Near 52W low zone, Volume expansion"
DVL,Financial Services,Capital Markets,244.82,1.85,30.93,35.68,56.7,240.2,263.16,1.35,Bullish,50.0,"Above 50 DMA, Healthy RSI momentum, Volume expansion, Positive day move",8.0,2.44,,,Financial Services,43.0,-5.0,38.0,28.95,21.66,9.47,,-101.63,-661.13,0.93,26.61,17.0,"Below 200 DMA, Negative operating cash flow, Negative free cash flow",14.79,Avoid,"Above 50 DMA, Healthy RSI momentum, Volume expansion, Positive day move"
MEDICO,Healthcare,Drug Manufacturers - Specialty & Generic,38.17,-1.17,26.31,32.89,35.13,42.7,45.61,0.19,Bearish,8.0,Weak but watchable RSI,0.0,-8.6,,,Pharma / Healthcare,62.0,4.0,66.0,25.44,6.35,37.5,36.5,5.87,-8.76,0.93,31.13,15.0,"Below 200 DMA, Low volume participation, Negative free cash flow",14.77,Avoid,Weak but watchable RSI
THERMAX,Industrials,Conglomerates,4718.5,-2.53,72.74,10.23,50.54,4699.32,3583.02,0.49,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",0.0,-1.7,,,Capital Goods / Infra,17.0,0.0,17.0,42.17,5.47,7.1,-83.4,,,0.57,25.48,10.0,"Low volume participation, Earnings contraction",14.77,Avoid,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum"
GMDCLTD,Energy,Thermal Coal,560.25,-3.46,50.32,27.42,32.93,619.77,592.73,0.8,Bearish,8.0,Weak but watchable RSI,0.0,-6.84,,,Metals / Mining,43.0,2.0,45.0,4.47,33.82,23.8,-0.2,,,0.57,33.26,8.0,Below 200 DMA,14.74,Avoid,Weak but watchable RSI
63MOONS,Technology,Software - Application,704.9,-4.08,50.94,36.51,53.46,668.16,687.2,0.51,Bullish,50.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum",8.0,4.01,,,IT / Technology,38.0,0.0,38.0,0.15,-10.6,5.2,104.3,-292.97,-279.54,0.93,26.28,17.0,"Negative net margin, Negative operating cash flow, Negative free cash flow",14.74,Avoid,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum"
PIGL,Industrials,Engineering & Construction,109.3,-1.04,24.13,42.38,47.46,107.66,121.82,0.18,Bullish,32.0,"Above 50 DMA, RSI recovering, Near 52W low zone",0.0,-4.52,,,Capital Goods / Infra,54.0,0.0,54.0,8.08,6.59,6.3,56.6,-5.02,32.42,1.0,25.48,16.0,"Below 200 DMA, Low volume participation, Negative operating cash flow",14.72,Avoid,"Above 50 DMA, RSI recovering, Near 52W low zone"
