symbol,company_name,sector_yf,industry_yf,sector_bucket,market_cap_cr,market_cap_cr_known,trailing_pe,trailing_pe_known,forward_pe,forward_pe_known,price_to_book,price_to_book_known,debt_to_equity,debt_to_equity_known,roe,roe_known,roa,roa_known,operating_margin,operating_margin_known,net_profit_margin,net_profit_margin_known,gross_margin,gross_margin_known,revenue_growth,revenue_growth_known,earnings_growth,earnings_growth_known,current_ratio,current_ratio_known,quick_ratio,quick_ratio_known,total_cash_cr,total_cash_cr_known,total_debt_cr,total_debt_cr_known,free_cashflow_cr,free_cashflow_cr_known,operating_cashflow_cr,operating_cashflow_cr_known,dividend_yield,dividend_yield_known,beta,beta_known,profitability_score,growth_score,balance_sheet_score,cashflow_score,valuation_score,fundamental_score,fundamental_data_coverage,fundamental_reasons,fundamental_risk_reasons,sector_adjustment,sector_adjusted_fundamental_score,sector_adjustment_reasons
VIPCLOTHNG,VIP Clothing Limited,Consumer Cyclical,Apparel Manufacturing,Consumer Discretionary,187.47,True,20.1942,True,,False,0.9659,True,35.852,True,,False,,False,6.71,True,3.75,True,28.28,True,-1.2,True,-16.0,True,,False,,False,10.37,True,69.69,True,,False,,False,,False,0.276,True,0.0,0.0,7.0,0.0,8.0,15.0,0.5,,"Revenue contraction, Earnings contraction",2.0,17.0,General low-debt support
AMJLAND,AMJ Land Holdings Limited,Real Estate,Real Estate - Development,Cement / Realty,152.44,True,10.4732,True,,False,0.7159,True,,False,,False,,False,28.97,True,23.47,True,56.25,True,2.5,True,-7.1,True,,False,,False,109.01,True,0.0,True,,False,,False,54.0,True,0.329,True,12.0,0.0,3.0,0.0,12.0,27.0,0.5,Net cash position,Earnings contraction,0.0,27.0,
VARDMNPOLY,Vardhman Polytex Limited,Consumer Cyclical,Textile Manufacturing,Consumer Discretionary,287.16,True,0.8608,True,,False,-1.2735,True,,False,,False,,False,-4.97,True,133.95,True,17.5,True,2.0,True,1609.75,True,,False,,False,0.28,True,370.22,True,,False,,False,,False,0.537,True,6.0,10.0,0.0,0.0,8.0,24.0,0.43,,,0.0,24.0,
COFFEEDAY,Coffee Day Enterprises Limited,Consumer Cyclical,Restaurants,Consumer Discretionary,644.74,True,3.6683,True,3.052,True,0.2308,True,26.194,True,,False,,False,6.5,True,15.47,True,51.33,True,7.6,True,-97.0,True,,False,,False,26.47,True,826.77,True,,False,,False,,False,0.55,True,5.0,2.0,7.0,0.0,13.0,27.0,0.5,,Earnings contraction,2.0,29.0,General low-debt support
UTKARSHBNK,Utkarsh Small Finance Bank Limited,Financial Services,Banks - Regional,Banking,2521.59,True,,False,6.5816,True,0.9055,True,,False,,False,,False,-10.52,True,-146.14,True,0.0,True,234.7,True,,False,,False,,False,728.12,True,2829.44,True,,False,,False,,False,0.978,True,0.0,10.0,0.0,0.0,4.0,14.0,0.29,,Negative net margin,0.0,14.0,
SUNDARAM,Sundaram Multi Pap Limited,Basic Materials,Paper & Paper Products,General,54.97,True,12.8889,True,,False,0.7503,True,23.312,True,,False,,False,0.85,True,2.7,True,31.82,True,22.0,True,,False,,False,,False,0.2,True,21.14,True,,False,,False,,False,0.474,True,0.0,8.0,7.0,0.0,10.0,25.0,0.43,,,2.0,27.0,General low-debt support
KPITTECH,KPIT Technologies Limited,Technology,Software - Application,IT / Technology,14482.49,True,25.0,True,16.8096,True,4.09,True,23.624,True,,False,,False,12.25,True,8.84,True,36.76,True,8.9,True,-31.8,True,,False,,False,1389.97,True,838.39,True,,False,,False,1.41,True,-0.007,True,6.0,5.0,10.0,0.0,10.0,31.0,0.57,Cash covers debt,Earnings contraction,0.0,31.0,
IRIS,IRIS RegTech Solutions Limited,Technology,Software - Application,IT / Technology,489.71,True,4.4519,True,,False,2.4396,True,0.827,True,,False,,False,-9.46,True,92.13,True,45.56,True,9.7,True,,False,,False,,False,102.95,True,1.66,True,,False,,False,,False,0.826,True,6.0,5.0,12.0,0.0,10.0,33.0,0.43,Cash covers debt,,0.0,33.0,
ITC,ITC Limited,Consumer Defensive,Tobacco,FMCG / Consumer,328675.44,True,16.5593,True,15.5991,True,4.5327,True,3.293,True,,False,,False,24.87,True,25.94,True,58.28,True,-11.1,True,-16.0,True,,False,,False,24510.97,True,2399.36,True,,False,,False,6.1,True,-0.093,True,11.0,0.0,12.0,0.0,13.0,36.0,0.57,Cash covers debt,"Revenue contraction, Earnings contraction",3.0,39.0,"Low debt, typical of a healthy consumer business"
VOGL,Vedanta Oil and Gas Limited,Basic Materials,Other Industrial Metals & Mining,Metals / Mining,13375.64,True,,False,,False,-0.1688,True,,False,,False,,False,8.94,True,420.83,True,81.37,True,8.9,True,,False,,False,,False,,False,0.0,True,,False,,False,,False,,False,6.0,5.0,0.0,0.0,2.0,13.0,0.29,,,0.0,13.0,
