symbol,sector,company_name
ADANIENT,Unknown,Adani Enterprises Limited
ADANIGREEN,Unknown,Adani Green Energy Limited
ADANIPORTS,Unknown,Adani Ports and Special Economic Zone Limited
ADANIPOWER,Unknown,Adani Power Limited
ADDIND,Unknown,Addi Industries Limited
ADFFOODS,Unknown,ADF Foods Limited
ADL,Unknown,Archidply Decor Limited
ADOR,Unknown,Ador Welding Limited
ADROITINFO,Unknown,Adroit Infotech Limited
ADSL,Unknown,Allied Digital Services Limited
ADVAIT,Unknown,Advait Energy Transitions Limited
ADVANCE,Unknown,Advance Agrolife Limited
ADVANIHOTR,Unknown,Advani Hotels & Resorts (India) Limited
ADVENTHTL,Unknown,Advent Hotels International Limited
ADVENZYMES,Unknown,Advanced Enzyme Technologies Limited
ADVIKCA,Unknown,Advik Capital Limited
AEGISLOG,Unknown,Aegis Logistics Limited
AEGISVOPAK,Unknown,Aegis Vopak Terminals Limited
AEPL,Unknown,Artemis Electricals and Projects Limited
AEQUS,Unknown,Aequs Limited
AEROENTER,Unknown,Aeroflex Enterprises Limited
AEROFLEX,Unknown,Aeroflex Industries Limited
AERONEU,Unknown,Aeroflex Neu Limited
AEROPLANE,Unknown,Amir Chand Jagdish Kumar (Exports) Limited
AETHER,Unknown,Aether Industries Limited
AFCONS,Unknown,Afcons Infrastructure Limited
AFFLE,Unknown,Affle 3i Limited
AFFORDABLE,Unknown,Affordable Robotic & Automation Limited
AFIL,Unknown,Akme Fintrade (India) Limited
AFSL,Unknown,Abans Financial Services Limited
AGARIND,Unknown,Agarwal Industrial Corporation Limited
AGARWALEYE,Unknown,Dr. Agarwal's Health Care Limited
AGI,Unknown,AGI Greenpac Limited
AGIIL,Unknown,Agi Infra Limited
AGL,Unknown,Allcargo Global Limited
AGRITECH,Unknown,Agri-Tech (India) Limited
AGROPHOS,Unknown,Agro Phos India Limited
AHCL,Unknown,Anlon Healthcare Limited
AHLADA,Unknown,Ahlada Engineers Limited
AHLEAST,Unknown,Asian Hotels (East) Limited
AHLUCONT,Unknown,Ahluwalia Contracts (India) Limited
AIAENG,Unknown,AIA Engineering Limited
AIIL,Unknown,Authum Investment & Infrastructure Limited
AIRAN,Unknown,Airan Limited
AIROLAM,Unknown,Airo Lam limited
AJANTPHARM,Unknown,Ajanta Pharma Limited
AJAXENGG,Unknown,Ajax Engineering Limited
AJMERA,Unknown,Ajmera Realty & Infra India Limited
AJOONI,Unknown,Ajooni Biotech Limited
AKASH,Unknown,Akash Infra-Projects Limited
AKCAPIT,Unknown,AK Capital Services Limited
AKG,Unknown,Akg Exim Limited
AKI,Unknown,AKI India Limited
AKSHAR,Unknown,Akshar Spintex Limited
AKUMS,Unknown,Akums Drugs and Pharmaceuticals Limited
ALANKIT,Unknown,Alankit Limited
ALBERTDAVD,Unknown,Albert David Limited
ALEMBICLTD,Unknown,Alembic Limited
ALFREDHE,Unknown,Alfred Herbert India Limited
ALGOQUANT,Unknown,Algoquant Fintech Limited
ALICON,Unknown,Alicon Castalloy Limited
ALIVUS,Unknown,Alivus Life Sciences Limited
ALKEM,Unknown,Alkem Laboratories Limited
ALKYLAMINE,Unknown,Alkyl Amines Chemicals Limited
ALLCARGO,Unknown,Allcargo Logistics Limited
ALLDIGI,Unknown,Alldigi Tech Limited
ALLTIME,Unknown,All Time Plastics Limited
ALMONDZ,Unknown,Almondz Global Securities Limited
ALOKINDS,Unknown,Alok Industries Limited
ALPA,Unknown,Alpa Laboratories Limited
ALPINETEX,Unknown,Alpine Texworld Limited
ALUFLUOR,Unknown,Alufluoride Limited
AMAGI,Unknown,Amagi Media Labs Limited
AMAL,Unknown,Amal Limited
AMARJOTHI,Unknown,Amarjothi Spinning Mills Limited
AMBER,Unknown,Amber Enterprises India Limited
AMBICAAGAR,Unknown,Ambica Agarbathies & Aroma industries Limited
AMBIKCO,Unknown,Ambika Cotton Mills Limited
