symbol,sector,industry,current_price,day_change_pct,low_52w,high_52w,distance_from_low_pct,distance_from_high_pct,rsi,sma50,sma200,avg_volume_20d,latest_volume,volume_ratio,trend,technical_score,technical_reasons,return_1m,return_3m,return_6m,nifty_return_1m,nifty_return_3m,nifty_return_6m,return_vs_nifty_1m,return_vs_nifty_3m,return_vs_nifty_6m,relative_strength_score,relative_strength_reasons,sector_rank_pct,range_status,range_score,range_low,range_high,range_width_pct,range_position_pct,range_reasons,roe,roa,operating_margin,net_profit_margin,revenue_growth,earnings_growth,debt_to_equity,current_ratio,quick_ratio,total_cash_cr,total_debt_cr,operating_cashflow_cr,free_cashflow_cr,trailing_pe,forward_pe,price_to_book,dividend_yield,beta,market_cap_cr,gross_margin,sector_bucket,profitability_score,growth_score,balance_sheet_score,cashflow_score,valuation_score,fundamental_score,fundamental_data_coverage,fundamental_reasons,fundamental_risk_reasons,sector_adjustment,sector_adjusted_fundamental_score,sector_adjustment_reasons,sector_score,risk_penalty,risk_reasons,final_score,score_band,reasons
BHAGYANGR,Basic Materials,Copper,92.37,2.28,40.55,128.89,127.79,28.33,36.21,101.94,104.28,99174.7,82456.0,0.83,Bearish,18.0,"Weak but watchable RSI, Strong positive day move",-12.5,-19.62,-18.87,-7.03,-2.08,8.56,-5.47,-17.54,-27.43,0.0,,77.05,Accumulation Zone,74.61,99.31,114.81,15.61,0.0,80.0% of closes stayed inside the range | Range width 15.6% | Currently 0.0% through the range,23.65,13.71,1.71,3.2,-22.56,351.35,52.08,3.18,2.14,3.02,100.71,96.11,91.76,19.9109,,4.8544,,1.28,1309.88,8.75,Metals / Mining,11.0,10.0,12.0,17.0,8.0,58.0,0.93,Strong ROE,Revenue contraction,4.0,62.0,"General quality ROE, General low-debt support",31.39,13.0,"Below 200 DMA, Revenue contraction",17.91,Avoid,"Weak but watchable RSI, Strong positive day move, Strong ROE, 80.0% of closes stayed inside the range | Range width 15.6% | Currently 0.0% through the range"
AURUM,Real Estate,Real Estate Services,190.71,-2.98,99.85,249.9,91.0,23.69,42.23,212.74,168.11,40149.4,31395.0,0.78,Bearish,23.0,"Above 200 DMA, Weak but watchable RSI",-14.8,10.38,31.03,-7.03,-2.08,8.56,-7.77,12.46,22.47,60.0,"Positive 3M return, Strong 6M absolute return, 3M Nifty outperformance, 6M Nifty outperformance",26.67,Neutral Range,63.52,143.89,223.49,55.32,58.82,80.0% of closes stayed inside the range | Range width 55.3% | Currently 58.8% through the range,-30.91,-8.65,-32.38,-26.05,68.72,-92.97,179.2,0.44,,7.26,323.24,20.2,-84.25,30.2965,110.9429,2.8362,,-0.029,1787.8,73.88,Cement / Realty,0.0,10.0,0.0,9.0,8.0,27.0,0.86,,"Negative net margin, Earnings contraction, Negative free cash flow",0.0,27.0,,42.44,19.0,"Negative net margin, Earnings contraction, Negative free cash flow",17.57,Avoid,"Above 200 DMA, Weak but watchable RSI, Positive 3M return, Strong 6M absolute return, 3M Nifty outperformance, 6M Nifty outperformance, 80.0% of closes stayed inside the range | Range width 55.3% | Currently 58.8% through the range"
AVTNPL,Basic Materials,Specialty Chemicals,78.77,1.99,70.94,119.5,11.04,34.08,34.5,86.09,87.07,132786.0,188139.0,1.42,Bearish,28.0,"Weak but watchable RSI, Near 52W low zone, Volume expansion, Positive day move",-7.72,-8.49,-7.39,-7.03,-2.08,8.56,-0.69,-6.41,-15.95,0.0,,77.05,Breakdown Risk,35.0,81.89,89.64,9.46,0.0,80.0% of closes stayed inside the range | Range width 9.5% | Currently 0.0% through the range | Below lower band on elevated volume,11.35,8.91,12.77,10.3,-11.15,-31.15,9.07,4.53,2.57,25.44,42.6,98.52,86.06,15.4891,47.8596,2.3194,1.05,0.426,1297.31,49.68,Chemicals,12.0,0.0,17.0,17.0,11.0,57.0,1.0,,"Revenue contraction, Earnings contraction",2.0,59.0,General low-debt support,31.39,15.0,"Below 200 DMA, Earnings contraction",17.36,Avoid,"Weak but watchable RSI, Near 52W low zone, Volume expansion, Positive day move, 80.0% of closes stayed inside the range | Range width 9.5% | Currently 0.0% through the range | Below lower band on elevated volume"
AADHARHFC,Financial Services,Mortgage Finance,431.05,2.73,292.0,516.8,47.62,16.59,46.67,436.55,,915901.0,534345.0,0.58,Bearish,22.0,"RSI recovering, Strong positive day move",-11.73,-4.74,,-7.03,-2.08,8.56,-4.7,-2.66,,0.0,,84.88,Neutral Range,67.58,344.28,461.31,33.99,74.14,78.9% of closes stayed inside the range | Range width 34.0% | Currently 74.1% through the range,16.85,3.93,74.55,31.84,25.16,37.61,313.69,1.6,,356.26,13958.44,-2550.1,-2565.54,18.288,12.7375,2.722,,0.395,20643.92,98.47,Financial Services,16.0,20.0,4.0,0.0,13.0,53.0,0.86,,"Very high debt, Negative operating cash flow, Negative free cash flow",12.0,65.0,"High leverage is structural for this sector, Strong ROE for a leveraged-balance-sheet business",40.41,17.0,"Very high debt, Negative operating cash flow, Negative free cash flow",17.31,Avoid,"RSI recovering, Strong positive day move, 78.9% of closes stayed inside the range | Range width 34.0% | Currently 74.1% through the range"
DUCON,Industrials,Specialty Industrial Machinery,7.57,4.99,5.05,17.4,49.9,56.49,32.56,9.47,8.95,2001223.55,281687.0,0.14,Bearish,18.0,"Weak but watchable RSI, Strong positive day move",-24.98,-7.57,1.61,-7.03,-2.08,8.56,-17.95,-5.49,-6.95,10.0,Positive 6M return,52.24,Accumulation Zone,67.94,6.95,10.28,47.94,18.61,80.8% of closes stayed inside the range | Range width 47.9% | Currently 18.6% through the range,6.33,2.61,4.77,1.82,5.86,86.08,85.61,1.74,,0.05,103.08,12.17,12.06,9.4091,,0.2777,,-0.2,67.26,4.8,Capital Goods / Infra,0.0,12.0,8.0,17.0,10.0,47.0,0.86,,,0.0,47.0,,32.08,11.0,"Below 200 DMA, Low volume participation",17.26,Avoid,"Weak but watchable RSI, Strong positive day move, Positive 6M return, 80.8% of closes stayed inside the range | Range width 47.9% | Currently 18.6% through the range"
ARCHIDPLY,Basic Materials,Lumber & Wood Production,117.0,5.0,50.0,153.0,134.0,23.53,39.97,130.44,110.33,25494.3,16588.0,0.65,Bearish,33.0,"Above 200 DMA, Weak but watchable RSI, Strong positive day move",-6.39,13.22,-1.18,-7.03,-2.08,8.56,0.64,15.3,-9.74,25.0,"Positive 3M return, 3M Nifty outperformance",31.15,Neutral Range,67.04,98.49,137.68,39.79,47.23,80.0% of closes stayed inside the range | Range width 39.8% | Currently 47.2% through the range,6.36,2.17,4.29,1.63,3.43,-42.06,136.63,1.21,0.81,0.89,152.38,11.46,-53.45,16.0412,,1.8626,,0.152,210.49,33.67,General,0.0,2.0,4.0,9.0,10.0,25.0,0.93,,"Earnings contraction, Negative free cash flow",0.0,25.0,,31.39,11.0,"Earnings contraction, Negative free cash flow",16.96,Avoid,"Above 200 DMA, Weak but watchable RSI, Strong positive day move, Positive 3M return, 3M Nifty outperformance, 80.0% of closes stayed inside the range | Range width 39.8% | Currently 47.2% through the range"
APOLLOPIPE,Industrials,Building Products & Equipment,499.34,-1.43,434.67,794.9,14.88,37.18,25.2,579.85,636.47,51911.2,76257.0,1.47,Bearish,19.0,"Oversold RSI, Near 52W low zone, Volume expansion",-14.65,-19.41,-23.02,-7.03,-2.08,8.56,-7.62,-17.33,-31.58,0.0,,82.09,Breakdown Risk,35.0,551.95,657.04,19.04,0.0,80.0% of closes stayed inside the range | Range width 19.0% | Currently 0.0% through the range | Below lower band on elevated volume,7.43,4.22,6.81,4.34,7.82,78.36,14.29,1.14,0.53,54.44,82.03,124.66,26.13,,46.2271,3.3931,11.0,0.084,2771.31,27.81,Capital Goods / Infra,0.0,12.0,11.0,17.0,4.0,44.0,0.93,,,0.0,44.0,,32.08,8.0,Below 200 DMA,16.96,Avoid,"Oversold RSI, Near 52W low zone, Volume expansion, 80.0% of closes stayed inside the range | Range width 19.0% | Currently 0.0% through the range | Below lower band on elevated volume"
CENTENKA,Consumer Cyclical,Textile Manufacturing,549.16,4.33,315.17,832.11,74.24,34.0,36.11,666.58,536.0,51730.15,34761.0,0.67,Bearish,33.0,"Above 200 DMA, Weak but watchable RSI, Strong positive day move",-16.13,-1.45,25.09,-7.03,-2.08,8.56,-9.1,0.63,16.53,25.0,"Positive 6M return, 6M Nifty outperformance",28.67,Accumulation Zone,74.17,538.99,722.1,33.97,5.55,80.0% of closes stayed inside the range | Range width 34.0% | Currently 5.6% through the range,3.13,2.54,1.94,2.46,-15.69,-52.67,3.83,4.57,3.02,0.87,52.25,88.06,-26.95,8.1253,,0.7996,2.01,0.219,1196.1,28.84,Consumer Discretionary,0.0,0.0,17.0,9.0,12.0,38.0,1.0,,"Revenue contraction, Earnings contraction, Negative free cash flow",2.0,40.0,General low-debt support,29.51,16.0,"Revenue contraction, Earnings contraction, Negative free cash flow",16.93,Avoid,"Above 200 DMA, Weak but watchable RSI, Strong positive day move, Positive 6M return, 6M Nifty outperformance, 80.0% of closes stayed inside the range | Range width 34.0% | Currently 5.6% through the range"
AQYLON,Communication Services,Broadcasting,1250.6,2.0,41.25,1250.6,2931.76,0.0,100.0,802.14,404.59,2292.5,563.0,0.25,Bullish,52.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Positive day move",48.52,240.48,1113.0,-7.03,-2.08,8.56,55.55,242.56,1104.44,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",10.71,Profit Booking Zone,69.09,150.71,988.32,555.8,100.0,80.0% of closes stayed inside the range | Range width 555.8% | Currently 100.0% through the range,-188.42,-28.79,-782.24,-770.5,,0.0,482.02,0.48,0.48,24.69,54.4,-10.72,-10.72,20.8585,,-97.4009,,0.004,561.0,38.14,Telecom,0.0,0.0,0.0,0.0,6.0,6.0,0.86,,"Negative net margin, Very high debt, Negative operating cash flow, Negative free cash flow",0.0,6.0,,32.04,28.0,"Low volume participation, Very high debt, Negative net margin, Negative operating cash flow, Negative free cash flow",16.91,Avoid,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Positive day move, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 555.8% | Currently 100.0% through the range"
BANSALWIRE,Basic Materials,Steel,399.25,2.38,325.1,468.65,22.81,14.81,40.61,415.77,,206958.95,127200.0,0.61,Bearish,23.0,"Weak but watchable RSI, Near 52W low zone, Strong positive day move",-10.52,12.61,,-7.03,-2.08,8.56,-3.49,14.69,,25.0,"Positive 3M return, 3M Nifty outperformance",31.15,,,,,,,,17.43,5.83,5.38,3.01,2.29,22.84,161.27,1.6,0.95,1.81,681.14,-540.72,-1011.46,35.0993,19.1952,3.4791,,0.843,4978.48,22.55,Metals / Mining,6.0,8.0,4.0,0.0,7.0,25.0,0.93,,"Negative operating cash flow, Negative free cash flow",0.0,25.0,,31.39,9.0,"Negative operating cash flow, Negative free cash flow",16.46,Avoid,"Weak but watchable RSI, Near 52W low zone, Strong positive day move, Positive 3M return, 3M Nifty outperformance"
