symbol,sector,industry,current_price,day_change_pct,low_52w,high_52w,distance_from_low_pct,distance_from_high_pct,rsi,sma50,sma200,avg_volume_20d,latest_volume,volume_ratio,trend,technical_score,technical_reasons,return_1m,return_3m,return_6m,nifty_return_1m,nifty_return_3m,nifty_return_6m,return_vs_nifty_1m,return_vs_nifty_3m,return_vs_nifty_6m,relative_strength_score,relative_strength_reasons,sector_rank_pct,range_status,range_score,range_low,range_high,range_width_pct,range_position_pct,range_reasons,roe,roa,operating_margin,net_profit_margin,revenue_growth,earnings_growth,debt_to_equity,current_ratio,quick_ratio,total_cash_cr,total_debt_cr,operating_cashflow_cr,free_cashflow_cr,trailing_pe,forward_pe,price_to_book,dividend_yield,beta,market_cap_cr,gross_margin,sector_bucket,profitability_score,growth_score,balance_sheet_score,cashflow_score,valuation_score,fundamental_score,fundamental_data_coverage,fundamental_reasons,fundamental_risk_reasons,sector_adjustment,sector_adjusted_fundamental_score,sector_adjustment_reasons,sector_score,risk_penalty,risk_reasons,final_score,score_band,reasons
COROMANDEL,Basic Materials,Agricultural Inputs,2045.58,4.81,814.36,2106.6,151.19,2.9,66.81,1816.7,1722.21,570177.9,1154951.0,2.03,Bullish,85.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong volume expansion, Strong positive day move",17.49,6.83,31.5,-0.07,-4.87,-9.9,17.56,11.7,41.4,95.0,"Strong 1M absolute return, Positive 3M return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",2.59,Breakout Watch,87.99,1625.92,1954.03,20.18,100.0,80.0% of closes stayed inside the range | Range width 20.2% | Currently 100.0% through the range | Above upper band on elevated volume,18.64,10.92,15.24,12.97,15.22,25.84,34.65,1.89,1.21,254.75,3842.2,2463.61,1612.97,33.365,21.4553,4.8621,53.0,0.143,61057.99,23.99,General,18.0,18.0,13.0,17.0,11.0,77.0,1.0,Strong ROE,,4.0,81.0,"General quality ROE, General low-debt support",37.06,0.0,,78.91,High Conviction,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong volume expansion, Strong positive day move, Strong ROE, Strong 1M absolute return, Positive 3M return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 20.2% | Currently 100.0% through the range | Above upper band on elevated volume"
BSE,Financial Services,Financial Data & Stock Exchanges,1835.43,6.86,131.96,2032.68,1290.85,9.7,60.58,1663.75,1388.6,15919312.35,10422066.0,0.65,Bullish,70.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong positive day move",32.55,2.55,30.54,-0.07,-4.87,-9.9,32.62,7.42,40.44,80.0,"Strong 1M absolute return, Positive 3M return, Strong 6M absolute return, 1M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",3.3,Profit Booking Zone,80.76,1415.67,1899.29,34.16,86.8,80.0% of closes stayed inside the range | Range width 34.2% | Currently 86.8% through the range,29.97,12.82,51.73,48.43,99.68,70.34,0.07,1.59,,26.42,3.26,410.15,256.92,51.2199,37.9807,18.1646,28.0,0.471,143241.73,99.59,Financial Services,25.0,20.0,16.0,17.0,7.0,85.0,0.93,"Strong ROE, Cash covers debt",,2.0,87.0,"Strong ROE for a leveraged-balance-sheet business, Expensive relative to book value for this sector",38.72,0.0,,73.76,Strong,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong positive day move, Strong ROE, Cash covers debt, Strong 1M absolute return, Positive 3M return, Strong 6M absolute return, 1M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 34.2% | Currently 86.8% through the range"
INDUSTOWER,Communication Services,Telecom Services,357.21,4.12,130.25,443.65,174.25,19.49,65.51,330.58,356.28,7546244.9,10437414.0,1.38,Bullish,70.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Volume expansion, Strong positive day move",13.21,12.2,0.18,-0.07,-4.87,-9.9,13.28,17.07,10.08,70.0,"Strong 1M absolute return, Positive 3M return, Positive 6M return, 1M Nifty outperformance, 3M Nifty outperformance, Positive across 1M/3M/6M",6.67,Profit Booking Zone,87.2,315.14,349.6,10.94,100.0,80.8% of closes stayed inside the range | Range width 10.9% | Currently 100.0% through the range,30.56,15.72,47.95,32.97,5.32,64.54,65.1,1.32,1.32,149.7,21155.8,19645.0,12861.0,14.1424,12.5435,2.4433,3.79,0.05,101110.34,55.94,Telecom,25.0,12.0,8.0,17.0,15.0,77.0,1.0,Strong ROE,,4.0,81.0,"General quality ROE, General low-debt support",36.57,0.0,,68.84,Strong,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Volume expansion, Strong positive day move, Strong ROE, Strong 1M absolute return, Positive 3M return, Positive 6M return, 1M Nifty outperformance, 3M Nifty outperformance, Positive across 1M/3M/6M, 80.8% of closes stayed inside the range | Range width 10.9% | Currently 100.0% through the range"
MARICO,Consumer Defensive,Household & Personal Products,668.36,2.33,445.44,722.47,50.05,7.49,67.66,626.98,636.89,1744503.25,3307994.0,1.9,Bullish,80.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Volume expansion, Strong positive day move",11.23,6.78,-2.32,-0.07,-4.87,-9.9,11.3,11.65,7.58,50.0,"Strong 1M absolute return, Positive 3M return, 1M Nifty outperformance, 3M Nifty outperformance",12.5,Profit Booking Zone,88.42,594.01,655.34,10.33,100.0,80.0% of closes stayed inside the range | Range width 10.3% | Currently 100.0% through the range,40.98,19.55,18.29,15.18,12.12,9.99,13.94,2.07,1.56,320.0,554.0,1363.0,1202.0,58.8033,43.8817,26.3637,47.0,0.184,110823.09,43.87,FMCG / Consumer,23.0,10.0,17.0,17.0,7.0,74.0,1.0,Strong ROE,,8.0,82.0,"Strong ROE for a consumer staples business, Low debt, typical of a healthy consumer business",42.26,0.0,,67.54,Strong,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Volume expansion, Strong positive day move, Strong ROE, Strong 1M absolute return, Positive 3M return, 1M Nifty outperformance, 3M Nifty outperformance, 80.0% of closes stayed inside the range | Range width 10.3% | Currently 100.0% through the range"
GLAXO,Healthcare,Drug Manufacturers - General,2626.43,5.99,1135.42,2959.02,131.32,11.24,51.89,2389.36,2446.45,115157.15,133036.0,1.16,Bullish,75.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support, Strong positive day move",-0.84,23.57,1.34,-0.07,-4.87,-9.9,-0.77,28.44,11.24,45.0,"Strong 3M absolute return, Positive 6M return, 3M Nifty outperformance",14.89,Profit Booking Zone,83.62,1975.3,2638.06,33.55,98.24,80.0% of closes stayed inside the range | Range width 33.6% | Currently 98.2% through the range,47.54,22.58,29.91,24.89,8.26,57.23,0.51,1.79,1.54,538.85,9.95,1289.9,1265.18,41.6103,33.2197,19.5764,2.19,0.057,44387.77,64.2,Pharma / Healthcare,25.0,15.0,19.0,17.0,7.0,83.0,1.0,"Strong ROE, Cash covers debt",,4.0,87.0,"General quality ROE, General low-debt support",38.61,0.0,,66.24,Strong,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support, Strong positive day move, Strong ROE, Cash covers debt, Strong 3M absolute return, Positive 6M return, 3M Nifty outperformance, 80.0% of closes stayed inside the range | Range width 33.6% | Currently 98.2% through the range"
ICICIBANK,Financial Services,Banks - Regional,1279.16,0.96,770.28,1351.1,66.07,5.32,51.24,1246.83,1233.75,12982221.2,13085762.0,1.01,Bullish,70.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support, Positive day move",7.03,2.86,5.12,-0.07,-4.87,-9.9,7.1,7.73,15.02,63.0,"Positive 1M return, Positive 3M return, Positive 6M return, 1M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",12.64,Neutral Range,82.21,1202.54,1310.07,8.94,71.25,80.0% of closes stayed inside the range | Range width 8.9% | Currently 71.3% through the range,16.26,1.93,,24.93,26.99,15.3,64.88,,,238304.4,203649.75,122805.26,118035.25,18.4855,15.2309,2.6994,84.0,0.261,1026998.09,0.0,Banking,10.0,18.0,7.0,17.0,15.0,67.0,0.79,Cash covers debt,,6.0,73.0,Strong ROE for a leveraged-balance-sheet business,38.72,0.0,,64.61,Watchlist,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support, Positive day move, Cash covers debt, Positive 1M return, Positive 3M return, Positive 6M return, 1M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 8.9% | Currently 71.3% through the range"
NH,Healthcare,Medical Care Facilities,1673.79,2.31,668.13,1716.49,150.52,2.49,61.12,1491.06,1315.65,645282.15,625789.0,0.97,Bullish,70.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong positive day move",7.36,23.15,36.9,-0.07,-4.87,-9.9,7.43,28.02,46.8,98.0,"Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",2.13,Profit Booking Zone,84.2,1249.98,1636.16,30.89,100.0,80.8% of closes stayed inside the range | Range width 30.9% | Currently 100.0% through the range,21.79,10.88,18.82,14.46,12.06,0.11,66.96,2.14,2.04,457.19,2428.37,985.78,-96.18,45.2285,26.3467,8.1974,24.0,,37193.68,39.83,Pharma / Healthcare,20.0,5.0,12.0,9.0,7.0,53.0,1.0,Strong ROE,Negative free cash flow,4.0,57.0,"General quality ROE, General low-debt support",38.61,4.0,Negative free cash flow,63.74,Watchlist,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong positive day move, Strong ROE, Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.8% of closes stayed inside the range | Range width 30.9% | Currently 100.0% through the range"
EICHERMOT,Consumer Cyclical,Auto Manufacturers,5110.87,3.28,2710.4,5447.09,88.56,6.17,52.16,5001.19,4799.61,343066.1,355195.0,1.04,Bullish,75.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support, Strong positive day move",2.56,1.32,11.46,-0.07,-4.87,-9.9,2.63,6.19,21.36,53.0,"Positive 1M return, Positive 3M return, Positive 6M return, 6M Nifty outperformance, Positive across 1M/3M/6M",5.45,Profit Booking Zone,84.24,4635.66,5219.33,12.59,81.42,80.0% of closes stayed inside the range | Range width 12.6% | Currently 81.4% through the range,22.23,17.42,21.6,25.54,14.19,18.33,2.15,1.63,1.26,218.96,458.13,3979.92,2940.59,38.2557,29.6311,8.7966,1.03,0.226,220962.51,42.31,Automobile,22.0,13.0,15.0,17.0,6.0,73.0,1.0,Strong ROE,,4.0,77.0,"General quality ROE, General low-debt support",30.68,0.0,,63.55,Watchlist,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support, Strong positive day move, Strong ROE, Positive 1M return, Positive 3M return, Positive 6M return, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 12.6% | Currently 81.4% through the range"
MAZDOCK,Industrials,Aerospace & Defense,2341.47,1.79,144.32,2883.4,1522.44,18.79,45.37,2309.31,2260.22,3886687.2,3423754.0,0.88,Bullish,47.0,"Above 50 DMA, Above 200 DMA, RSI recovering, Positive day move",0.88,9.42,16.27,-0.07,-4.87,-9.9,0.95,14.29,26.17,68.0,"Positive 1M return, Positive 3M return, Positive 6M return, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",3.49,Neutral Range,73.59,2020.56,2534.52,25.44,62.44,80.0% of closes stayed inside the range | Range width 25.4% | Currently 62.4% through the range,30.4,8.41,22.43,21.56,23.47,24.6,0.26,1.25,1.02,5285.39,20.33,2102.05,1297.34,38.4627,32.1624,10.5529,82.0,0.624,102942.58,32.58,Capital Goods / Infra,23.0,16.0,16.0,17.0,7.0,79.0,1.0,"Strong ROE, Cash covers debt",,5.0,84.0,Strong order-book-driven revenue growth,32.14,0.0,,62.97,Watchlist,"Above 50 DMA, Above 200 DMA, RSI recovering, Positive day move, Strong ROE, Cash covers debt, Positive 1M return, Positive 3M return, Positive 6M return, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 25.4% | Currently 62.4% through the range"
BHARTIARTL,Communication Services,Telecom Services,1684.93,2.0,665.27,1742.32,153.27,3.29,55.43,1630.38,1561.67,6973904.8,7206935.0,1.03,Bullish,75.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support, Strong positive day move",5.5,7.58,3.8,-0.07,-4.87,-9.9,5.57,12.45,13.7,63.0,"Positive 1M return, Positive 3M return, Positive 6M return, 1M Nifty outperformance, 3M Nifty outperformance, Positive across 1M/3M/6M",13.33,Profit Booking Zone,87.57,1543.27,1681.82,8.98,100.0,80.0% of closes stayed inside the range | Range width 9.0% | Currently 100.0% through the range,29.52,6.52,27.94,19.4,15.34,349.39,187.95,0.37,0.37,6105.6,213642.1,98332.2,58652.3,39.9959,23.6178,7.4958,1.25,0.01,1213418.96,67.86,Telecom,22.0,18.0,0.0,17.0,6.0,63.0,1.0,Strong ROE,,2.0,65.0,General quality ROE,36.57,0.0,,62.74,Watchlist,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support, Strong positive day move, Strong ROE, Positive 1M return, Positive 3M return, Positive 6M return, 1M Nifty outperformance, 3M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 9.0% | Currently 100.0% through the range"
KOTAKBANK,Financial Services,Banks - Regional,409.85,0.85,307.55,439.23,33.26,6.69,50.5,396.15,367.85,25417335.5,20471695.0,0.81,Bullish,65.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive day move",6.19,16.2,13.96,-0.07,-4.87,-9.9,6.26,21.07,23.86,78.0,"Positive 1M return, Positive 3M return, Positive 6M return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",5.49,Profit Booking Zone,84.31,347.79,406.0,16.74,100.0,80.0% of closes stayed inside the range | Range width 16.7% | Currently 100.0% through the range,14.05,2.51,,29.12,9.06,21.48,55.08,,,81112.72,86751.03,16915.73,15702.89,19.2649,15.2838,2.1432,17.0,0.275,388409.46,0.0,Banking,10.0,13.0,4.0,17.0,15.0,59.0,0.79,,,0.0,59.0,,38.72,0.0,,62.21,Watchlist,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive day move, Positive 1M return, Positive 3M return, Positive 6M return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 16.7% | Currently 100.0% through the range"
