symbol,sector,industry,current_price,current_rsi,current_risk_penalty,current_final_score,current_score_band,previous_rsi,previous_risk_penalty,previous_final_score,previous_score_band,score_change,rsi_change,risk_change,change_signal
LORDSCHLO,Basic Materials,Chemicals,148.2,62.55,0.0,58.24,Watchlist,44.93,8.0,21.37,Avoid,36.87,17.62,-8.0,"Score improved sharply, Band changed: Avoid -> Watchlist"
PRIMO,Basic Materials,Chemicals,25.28,65.72,0.0,54.54,Neutral,51.49,11.0,20.42,Avoid,34.12,14.23,-11.0,"Score improved sharply, Band changed: Avoid -> Neutral"
DWARKESH,Consumer Defensive,Confectioners,45.01,51.6,0.0,32.31,Avoid,35.52,11.0,1.6,Avoid,30.71,16.08,-11.0,Score improved sharply
SPLIL,Consumer Cyclical,Apparel Manufacturing,30.99,51.85,0.0,47.33,Neutral,42.84,11.0,18.33,Avoid,29.0,9.01,-11.0,"Score improved sharply, Band changed: Avoid -> Neutral"
RETAIL,Consumer Defensive,Grocery Stores,20.06,64.69,20.0,28.71,Avoid,45.45,23.0,0.0,Avoid,28.71,19.24,-3.0,Score improved sharply
MAGADSUGAR,Consumer Defensive,Confectioners,551.45,54.67,0.0,51.46,Neutral,40.5,3.0,23.0,Avoid,28.46,14.17,-3.0,"Score improved sharply, Band changed: Avoid -> Neutral"
BEDMUTHA,Basic Materials,Steel,110.71,57.17,12.0,28.84,Avoid,41.98,15.0,1.47,Avoid,27.37,15.19,-3.0,Score improved sharply
STARTECK,Financial Services,Credit Services,262.5,58.55,8.0,34.83,Avoid,43.68,16.0,9.45,Avoid,25.38,14.87,-8.0,Score improved sharply
PNGJL,Consumer Cyclical,Luxury Goods,605.5,49.45,0.0,46.33,Neutral,40.9,8.0,21.58,Avoid,24.75,8.55,-8.0,"Score improved sharply, Band changed: Avoid -> Neutral"
TRUALT,Unknown,Unknown,441.9,56.45,0.0,28.04,Avoid,49.54,8.0,3.29,Avoid,24.75,6.91,-8.0,Score improved sharply
BAIDFIN,Financial Services,Credit Services,10.69,53.23,12.0,35.73,Weak,49.96,23.0,11.1,Avoid,24.63,3.27,-11.0,"Score improved sharply, Band changed: Avoid -> Weak"
BTML,Communication Services,Entertainment,7.46,46.7,7.0,34.98,Avoid,34.64,18.0,10.43,Avoid,24.55,12.06,-11.0,Score improved sharply
UTTAMSUGAR,Consumer Defensive,Confectioners,293.15,59.13,7.0,37.46,Weak,43.8,10.0,14.75,Avoid,22.71,15.33,-3.0,"Score improved sharply, Band changed: Avoid -> Weak"
SAKHTISUG,Consumer Defensive,Confectioners,19.0,50.15,12.0,33.16,Avoid,39.11,15.0,10.45,Avoid,22.71,11.04,-3.0,Score improved sharply
HERANBA,Basic Materials,Agricultural Inputs,187.6,68.41,21.0,25.34,Avoid,52.43,21.0,2.72,Avoid,22.62,15.98,0.0,Score improved sharply
INOXINDIA,Industrials,Specialty Industrial Machinery,2156.8,54.19,0.0,56.53,Watchlist,48.23,3.0,34.57,Avoid,21.96,5.96,-3.0,"Score improved sharply, Band changed: Avoid -> Watchlist"
