symbol,sector,industry,current_price,day_change_pct,distance_from_low_pct,distance_from_high_pct,rsi,sma50,sma200,volume_ratio,trend,technical_score,technical_reasons,relative_strength_score,return_1m,return_3m,return_6m,sector_bucket,fundamental_score,sector_adjustment,sector_adjusted_fundamental_score,debt_to_equity,net_profit_margin,revenue_growth,earnings_growth,operating_cashflow_cr,free_cashflow_cr,fundamental_data_coverage,sector_score,risk_penalty,risk_reasons,final_score,score_band,reasons,low_52w,high_52w,avg_volume_20d,latest_volume,nifty_return_1m,nifty_return_3m,nifty_return_6m,return_vs_nifty_1m,return_vs_nifty_3m,return_vs_nifty_6m,relative_strength_reasons,sector_rank_pct,range_status,range_score,range_low,range_high,range_width_pct,range_position_pct,range_reasons,roe,roa,operating_margin,current_ratio,quick_ratio,total_cash_cr,total_debt_cr,trailing_pe,forward_pe,price_to_book,dividend_yield,beta,market_cap_cr,gross_margin,profitability_score,growth_score,balance_sheet_score,cashflow_score,valuation_score,fundamental_reasons,fundamental_risk_reasons,sector_adjustment_reasons
OFSS,Technology,Software - Infrastructure,11771.0,0.77,94.21,1.56,73.93,10196.48,8274.21,0.89,Bullish,52.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Positive day move",15.0,25.23,,,IT / Technology,91.0,10.0,100.0,0.57,38.15,68.7,120.2,3601.2,3088.42,1.0,27.69,0.0,,55.9,Watchlist,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Positive day move",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3MINDIA,Industrials,Conglomerates,34870.0,-0.2,23.13,6.98,59.55,32633.19,32875.78,0.61,Bullish,65.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone",8.0,4.87,,,Capital Goods / Infra,80.0,5.0,85.0,9.6,10.26,16.8,200.4,513.72,487.23,1.0,25.99,0.0,,51.9,Neutral,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHAEFFLER,Consumer Cyclical,Auto Parts,4146.1,0.35,18.81,6.72,51.92,4109.21,3977.35,1.11,Bullish,75.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone, Normal volume support, Positive day move",0.0,-0.95,,,Automobile,73.0,4.0,77.0,0.78,11.93,17.3,13.0,968.48,394.14,1.0,27.22,0.0,,49.78,Neutral,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone, Normal volume support, Positive day move",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLAND,Healthcare,Drug Manufacturers - Specialty & Generic,2449.0,-3.18,55.63,4.84,55.9,2288.1,1908.82,0.45,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",15.0,11.21,,,Pharma / Healthcare,78.0,2.0,80.0,2.74,15.97,22.3,96.4,1031.39,423.19,1.0,32.4,3.0,Low volume participation,48.61,Neutral,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPCALAB,Healthcare,Drug Manufacturers - Specialty & Generic,1900.6,0.55,51.85,2.28,81.18,1646.21,1494.32,0.57,Bullish,52.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Positive day move",15.0,23.13,,,Pharma / Healthcare,73.0,2.0,75.0,8.49,11.83,6.3,341.6,1141.97,790.13,1.0,32.4,0.0,,47.86,Neutral,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Positive day move",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDURANCE,Consumer Cyclical,Auto Parts,2733.0,-1.1,27.54,11.26,58.67,2642.06,2589.68,0.59,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",8.0,4.18,,,Automobile,68.0,2.0,70.0,19.39,6.52,37.9,12.7,1850.72,167.33,1.0,27.22,0.0,,45.58,Neutral,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBOTINDIA,Healthcare,Drug Manufacturers - Specialty & Generic,28055.0,0.66,11.55,20.55,70.71,26699.0,27534.32,0.82,Bullish,47.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W low zone, Positive day move",8.0,7.31,,,Pharma / Healthcare,72.0,4.0,76.0,3.6,22.4,6.5,7.6,1319.24,1351.75,1.0,32.4,0.0,,45.21,Neutral,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W low zone, Positive day move",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECHM,Technology,Information Technology Services,1572.9,4.14,23.75,12.96,68.97,1420.87,1449.18,3.89,Bullish,90.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone, Strong volume expansion, Strong positive day move",8.0,8.65,,,IT / Technology,47.0,0.0,47.0,7.27,8.68,17.7,28.3,,,0.57,27.69,0.0,,45.1,Neutral,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone, Strong volume expansion, Strong positive day move",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLARINDS,Basic Materials,Specialty Chemicals,18467.0,0.36,58.57,2.66,56.33,17925.14,14686.0,0.65,Bullish,65.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive day move",8.0,3.96,,,Chemicals,72.0,4.0,76.0,23.27,17.05,40.9,70.0,620.87,-1405.69,1.0,26.32,4.0,Negative free cash flow,44.8,Weak,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive day move",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABB,Industrials,Specialty Industrial Machinery,7506.0,-2.11,62.52,5.28,63.51,6920.12,5970.61,0.9,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",8.0,3.83,,,Capital Goods / Infra,66.0,0.0,66.0,1.55,21.35,12.1,3.0,1470.96,1082.38,1.0,25.99,0.0,,44.0,Weak,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBEROIRLTY,Real Estate,Real Estate - Development,1894.8,1.81,36.37,4.6,61.77,1725.63,1641.28,0.99,Bullish,65.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive day move",15.0,11.84,,,Cement / Realty,55.0,2.0,57.0,15.77,41.59,31.7,28.9,,,0.57,25.39,0.0,,43.76,Weak,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive day move",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPPLUS,Industrials,Building Products & Equipment,3614.4,-4.88,256.1,6.51,55.72,3227.15,2026.21,1.19,Bullish,65.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support",8.0,2.87,,,Capital Goods / Infra,68.0,5.0,73.0,9.6,8.72,45.5,187.0,13.47,-28.53,1.0,25.99,4.0,Negative free cash flow,43.7,Weak,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAUKRI,Communication Services,Internet Content & Information,1187.25,-1.64,30.71,19.53,70.63,1018.24,1160.04,0.54,Bullish,37.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI",15.0,17.92,,,Telecom,75.0,2.0,77.0,0.64,44.14,15.9,22.1,1076.43,873.98,1.0,22.85,0.0,,43.38,Weak,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LENSKART,Healthcare,Medical Instruments & Supplies,537.2,0.67,50.86,4.58,58.55,512.22,0.0,1.21,Bullish,70.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support, Positive day move",8.0,6.37,,,Pharma / Healthcare,51.0,2.0,53.0,34.98,5.6,45.6,-9.6,1669.59,766.92,0.93,32.4,0.0,,42.91,Weak,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support, Positive day move",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDCOPPER,Basic Materials,Copper,486.15,0.37,115.9,35.93,39.2,523.28,481.52,0.67,Bearish,28.0,"Above 200 DMA, Weak but watchable RSI, Positive day move",0.0,-4.62,,,Metals / Mining,87.0,4.0,91.0,3.32,29.84,58.1,136.6,1473.56,864.71,1.0,26.32,0.0,,42.8,Weak,"Above 200 DMA, Weak but watchable RSI, Positive day move",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SONACOMS,Consumer Cyclical,Auto Parts,704.85,3.14,76.29,0.51,79.46,616.79,528.37,2.07,Bullish,72.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Strong volume expansion, Strong positive day move",15.0,16.49,,,Automobile,45.0,2.0,47.0,7.21,14.21,52.4,44.3,,,0.57,27.22,0.0,,42.28,Weak,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Strong volume expansion, Strong positive day move",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEGISLOG,Energy,Oil & Gas Refining & Marketing,1349.1,3.98,135.43,4.72,66.92,961.26,776.79,0.93,Bullish,70.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong positive day move",15.0,33.99,,,Energy / Utilities,45.0,2.0,47.0,47.24,13.88,43.3,269.0,,,0.57,29.39,0.0,,42.11,Weak,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong positive day move",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSCL,Basic Materials,Specialty Chemicals,741.55,2.66,77.43,0.4,68.94,646.39,516.63,1.5,Bullish,80.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Volume expansion, Strong positive day move",8.0,7.42,,,Chemicals,44.0,2.0,46.0,16.17,16.07,28.0,24.7,,,0.57,26.32,0.0,,42.05,Weak,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Volume expansion, Strong positive day move",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLYCAB,Industrials,Electrical Equipment & Parts,8862.0,-3.83,34.5,12.48,36.51,9451.74,8037.33,1.8,Bearish,33.0,"Above 200 DMA, Weak but watchable RSI, Volume expansion",0.0,-10.96,,,Capital Goods / Infra,79.0,5.0,84.0,1.74,9.18,39.0,32.5,3560.47,1802.32,1.0,25.99,0.0,,41.55,Weak,"Above 200 DMA, Weak but watchable RSI, Volume expansion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGEINDIA,Technology,Consumer Electronics,1581.8,0.03,21.29,9.56,55.3,1546.74,0.0,0.47,Bullish,70.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone, Positive day move",0.0,-1.6,,,IT / Technology,60.0,5.0,65.0,5.99,6.85,8.1,-8.2,1721.25,327.95,0.93,27.69,3.0,Low volume participation,41.4,Weak,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone, Positive day move",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLOYDSME,Basic Materials,Steel,1865.4,1.19,78.97,1.17,62.71,1767.84,1430.07,1.33,Bullish,75.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Volume expansion, Positive day move",8.0,6.22,,,Metals / Mining,57.0,2.0,59.0,145.21,21.48,405.5,6.05,2921.32,-7270.92,1.0,26.32,4.0,Negative free cash flow,41.35,Weak,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Volume expansion, Positive day move",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOLLOHOSP,Healthcare,Medical Care Facilities,8826.0,-0.7,31.98,2.03,60.03,8456.75,7692.74,0.48,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",8.0,4.93,,,Pharma / Healthcare,62.0,2.0,64.0,85.15,7.7,18.1,35.6,2855.7,182.84,1.0,32.4,3.0,Low volume participation,41.26,Weak,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJANTPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,3419.4,-0.97,48.41,2.5,62.71,3175.12,2830.01,0.69,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",15.0,11.25,,,Pharma / Healthcare,48.0,2.0,50.0,5.75,19.65,24.8,30.8,,,0.57,32.4,0.0,,41.11,Weak,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVISLAB,Healthcare,Drug Manufacturers - Specialty & Generic,7247.5,-0.94,28.58,1.93,69.97,6768.17,6430.08,1.12,Bullish,65.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support",8.0,7.1,,,Pharma / Healthcare,49.0,2.0,51.0,0.04,26.05,27.8,65.7,,,0.57,32.4,0.0,,40.96,Weak,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROWW,Financial Services,Capital Markets,208.3,1.29,85.98,8.32,55.73,195.71,0.0,1.4,Bullish,75.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Volume expansion, Positive day move",8.0,3.87,,,Financial Services,49.0,-4.0,45.0,3.03,45.35,65.2,85.7,,,0.5,29.02,0.0,,40.85,Weak,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Volume expansion, Positive day move",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
