symbol,sector,industry,current_price,day_change_pct,low_52w,high_52w,distance_from_low_pct,distance_from_high_pct,rsi,sma50,sma200,avg_volume_20d,latest_volume,volume_ratio,trend,technical_score,technical_reasons,return_1m,return_3m,return_6m,nifty_return_1m,nifty_return_3m,nifty_return_6m,return_vs_nifty_1m,return_vs_nifty_3m,return_vs_nifty_6m,relative_strength_score,relative_strength_reasons,sector_rank_pct,range_status,range_score,range_low,range_high,range_width_pct,range_position_pct,range_reasons,roe,roa,operating_margin,net_profit_margin,revenue_growth,earnings_growth,debt_to_equity,current_ratio,quick_ratio,total_cash_cr,total_debt_cr,operating_cashflow_cr,free_cashflow_cr,trailing_pe,forward_pe,price_to_book,dividend_yield,beta,market_cap_cr,gross_margin,sector_bucket,profitability_score,growth_score,balance_sheet_score,cashflow_score,valuation_score,fundamental_score,fundamental_data_coverage,fundamental_reasons,fundamental_risk_reasons,sector_adjustment,sector_adjusted_fundamental_score,sector_adjustment_reasons,sector_score,risk_penalty,risk_reasons,final_score,score_band,reasons
OFSS,Technology,Software - Infrastructure,11358.35,-2.7,2435.42,11919.25,366.38,4.71,57.29,10684.88,9095.98,126492.9,261653.0,2.07,Bullish,75.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong volume expansion",6.31,8.78,45.67,1.91,-1.72,5.81,4.4,10.5,39.86,78.0,"Positive 1M return, Positive 3M return, Strong 6M absolute return, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",47.14,Breakout Watch,86.35,9408.26,11015.06,17.08,100.0,80.0% of closes stayed inside the range | Range width 17.1% | Currently 100.0% through the range | Above upper band on elevated volume,28.24,22.34,43.6,34.83,11.84,22.88,0.55,5.98,,3479.4,43.0,1790.7,1760.6,30.3951,25.7616,14.6798,5.59,0.496,101695.49,58.6,IT / Technology,25.0,13.0,17.0,17.0,9.0,81.0,0.93,"Strong ROE, Cash covers debt",,10.0,91.0,"Strong ROE for an asset-light business, Strong operating margin",62.3,0.0,,79.44,High Conviction,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong volume expansion, Strong ROE, Cash covers debt, Positive 1M return, Positive 3M return, Strong 6M absolute return, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 17.1% | Currently 100.0% through the range | Above upper band on elevated volume"
NAM-INDIA,Financial Services,Asset Management,779.24,9.71,177.32,786.1,339.46,0.87,75.81,663.47,593.52,1255092.15,9867184.0,7.86,Bullish,72.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Strong volume expansion, Strong positive day move",14.6,20.88,38.27,1.91,-1.72,5.81,12.69,22.6,32.46,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",2.81,Breakout Watch,86.56,612.16,682.62,11.51,100.0,80.0% of closes stayed inside the range | Range width 11.5% | Currently 100.0% through the range | Above upper band on elevated volume,27.81,25.31,58.68,67.39,21.74,53.09,1.97,20.36,,24.23,78.59,777.48,765.61,46.7312,35.4773,16.1928,1.84,0.634,75633.87,83.17,Financial Services,25.0,18.0,14.0,17.0,6.0,80.0,0.93,Strong ROE,,2.0,82.0,"Strong ROE for a leveraged-balance-sheet business, Expensive relative to book value for this sector",44.62,0.0,,78.39,High Conviction,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Strong volume expansion, Strong positive day move, Strong ROE, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 11.5% | Currently 100.0% through the range | Above upper band on elevated volume"
PERSISTENT,Technology,Information Technology Services,6263.09,1.78,1500.77,6300.7,317.32,0.6,74.02,5572.58,4563.91,423899.45,601991.0,1.42,Bullish,62.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Volume expansion, Positive day move",11.94,20.31,69.78,1.91,-1.72,5.81,10.03,22.03,63.97,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",17.14,Breakout Watch,82.1,4497.29,5723.52,27.27,100.0,80.0% of closes stayed inside the range | Range width 27.3% | Currently 100.0% through the range | Above upper band on elevated volume,22.06,14.74,13.27,11.13,17.62,18.72,9.1,1.87,,662.51,451.13,1302.11,944.08,44.7405,30.8947,10.9263,65.0,0.082,85520.87,31.68,IT / Technology,17.0,16.0,16.0,17.0,7.0,73.0,0.93,"Strong ROE, Cash covers debt",,5.0,78.0,Strong ROE for an asset-light business,62.3,0.0,,77.14,High Conviction,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Volume expansion, Positive day move, Strong ROE, Cash covers debt, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 27.3% | Currently 100.0% through the range | Above upper band on elevated volume"
HCLTECH,Technology,Information Technology Services,1798.85,1.38,749.44,1804.84,140.02,0.33,64.13,1710.55,1494.75,2640839.05,2695207.0,1.02,Bullish,70.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support, Positive day move",5.38,9.55,38.43,1.91,-1.72,5.81,3.47,11.27,32.62,78.0,"Positive 1M return, Positive 3M return, Strong 6M absolute return, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",47.14,Profit Booking Zone,85.0,1384.6,1738.83,25.58,100.0,80.8% of closes stayed inside the range | Range width 25.6% | Currently 100.0% through the range,23.0,15.74,31.48,14.29,8.34,5.73,8.43,2.61,2.6,9441.0,5756.0,22448.0,21400.0,21.2315,17.0459,4.9998,4.39,0.006,369445.39,34.0,IT / Technology,22.0,7.0,20.0,17.0,11.0,77.0,1.0,"Strong ROE, Cash covers debt",,10.0,87.0,"Strong ROE for an asset-light business, Strong operating margin",62.3,0.0,,76.8,High Conviction,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support, Positive day move, Strong ROE, Cash covers debt, Positive 1M return, Positive 3M return, Strong 6M absolute return, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.8% of closes stayed inside the range | Range width 25.6% | Currently 100.0% through the range"
AIIL,Financial Services,Capital Markets,358.97,5.22,146.31,379.66,145.35,5.45,67.02,336.84,,264239.0,930745.0,3.52,Bullish,70.0,"Above 50 DMA, Healthy RSI momentum, Near 52W high momentum, Strong volume expansion, Strong positive day move",9.15,10.45,73.24,1.91,-1.72,5.81,7.24,12.17,67.43,88.0,"Positive 1M return, Positive 3M return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",8.99,Profit Booking Zone,77.42,209.78,355.87,69.64,100.0,80.0% of closes stayed inside the range | Range width 69.6% | Currently 100.0% through the range,41.42,36.87,271.34,191.34,419.29,-0.45,10.91,5.02,,199.78,1128.34,3290.58,3242.2,28.9713,,2.9231,4.0,-0.018,47115.03,97.86,Financial Services,25.0,10.0,14.0,17.0,10.0,76.0,0.93,Strong ROE,Earnings contraction,6.0,82.0,Strong ROE for a leveraged-balance-sheet business,44.62,0.0,,74.89,Strong,"Above 50 DMA, Healthy RSI momentum, Near 52W high momentum, Strong volume expansion, Strong positive day move, Strong ROE, Positive 1M return, Positive 3M return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 69.6% | Currently 100.0% through the range"
CGPOWER,Industrials,Electrical Equipment & Parts,793.86,0.47,209.52,871.04,278.89,8.86,64.21,750.39,654.86,2468791.3,2422138.0,0.98,Bullish,65.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive day move",11.3,19.95,21.76,1.91,-1.72,5.81,9.39,21.67,15.95,85.0,"Strong 1M absolute return, Positive 3M return, Positive 6M return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",10.59,Profit Booking Zone,84.74,682.88,777.28,13.82,100.0,80.0% of closes stayed inside the range | Range width 13.8% | Currently 100.0% through the range,47.29,25.37,13.16,17.94,15.39,48.23,0.58,1.64,1.35,199.84,17.56,1027.79,793.52,111.9798,63.7634,17.5463,15.0,0.42,139899.97,30.72,Capital Goods / Infra,21.0,18.0,18.0,17.0,5.0,79.0,1.0,"Strong ROE, Cash covers debt",Very high PE,5.0,84.0,Strong order-book-driven revenue growth,46.89,0.0,,73.93,Strong,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive day move, Strong ROE, Cash covers debt, Strong 1M absolute return, Positive 3M return, Positive 6M return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 13.8% | Currently 100.0% through the range"
COFORGE,Technology,Information Technology Services,1772.87,1.01,611.3,1780.62,190.01,0.44,85.13,1542.95,1235.12,1758786.75,1984440.0,1.13,Bullish,57.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Normal volume support, Positive day move",13.26,32.69,73.55,1.91,-1.72,5.81,11.35,34.41,67.74,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",17.14,Profit Booking Zone,77.94,1111.47,1644.43,47.95,100.0,80.0% of closes stayed inside the range | Range width 48.0% | Currently 100.0% through the range,22.28,13.23,12.91,8.97,12.41,16.46,20.02,1.7,,321.3,726.0,903.4,637.9,37.3136,25.1184,6.3441,88.0,0.294,79750.75,37.25,IT / Technology,17.0,13.0,11.0,17.0,7.0,65.0,0.93,Strong ROE,,5.0,70.0,Strong ROE for an asset-light business,62.3,0.0,,73.1,Strong,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Normal volume support, Positive day move, Strong ROE, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 48.0% | Currently 100.0% through the range"
MANKIND,Healthcare,Drug Manufacturers - Specialty & Generic,2665.35,1.02,1241.51,2872.87,114.69,7.22,57.0,2614.24,2328.44,295901.75,296485.0,1.0,Bullish,70.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support, Positive day move",0.26,8.91,22.67,1.91,-1.72,5.81,-1.65,10.63,16.86,68.0,"Positive 1M return, Positive 3M return, Positive 6M return, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",34.09,Profit Booking Zone,83.24,2099.54,2683.06,27.79,96.97,80.0% of closes stayed inside the range | Range width 27.8% | Currently 97.0% through the range,20.43,15.99,21.83,18.65,17.26,49.23,2.21,3.1,2.37,382.01,207.17,2152.44,1763.23,49.1833,34.567,6.1622,8.0,0.46,100486.05,70.76,Pharma / Healthcare,22.0,18.0,20.0,17.0,7.0,84.0,1.0,"Strong ROE, Cash covers debt",,4.0,88.0,"General quality ROE, General low-debt support",51.84,0.0,,73.08,Strong,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support, Positive day move, Strong ROE, Cash covers debt, Positive 1M return, Positive 3M return, Positive 6M return, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 27.8% | Currently 97.0% through the range"
LTM,Technology,Information Technology Services,6408.93,2.98,3901.62,6452.47,64.26,0.67,71.92,5939.22,5339.42,254221.9,738557.0,2.91,Bullish,72.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Strong volume expansion, Strong positive day move",11.01,4.07,35.83,1.91,-1.72,5.81,9.1,5.79,30.02,80.0,"Strong 1M absolute return, Positive 3M return, Strong 6M absolute return, 1M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",35.71,Breakout Watch,85.52,5228.02,6192.68,18.45,100.0,80.0% of closes stayed inside the range | Range width 18.5% | Currently 100.0% through the range | Above upper band on elevated volume,22.89,16.62,15.68,12.9,7.03,3.94,10.34,3.28,3.28,1806.3,2070.6,5669.5,4826.3,27.0482,20.7158,5.7545,1.55,0.261,141177.8,29.77,IT / Technology,19.0,4.0,17.0,17.0,10.0,67.0,1.0,Strong ROE,,5.0,72.0,Strong ROE for an asset-light business,62.3,0.0,,72.54,Strong,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Strong volume expansion, Strong positive day move, Strong ROE, Strong 1M absolute return, Positive 3M return, Strong 6M absolute return, 1M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 18.5% | Currently 100.0% through the range | Above upper band on elevated volume"
LLOYDSME,Basic Materials,Steel,1123.79,2.49,490.69,1128.48,129.02,0.42,72.82,983.86,772.41,549164.9,970387.0,1.77,Bullish,67.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Volume expansion, Strong positive day move",11.85,49.89,56.79,1.91,-1.72,5.81,9.94,51.61,50.98,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",1.75,Breakout Watch,81.64,727.96,999.56,37.31,100.0,80.0% of closes stayed inside the range | Range width 37.3% | Currently 100.0% through the range | Above upper band on elevated volume,44.22,31.57,25.98,19.18,93.87,530.75,5.75,1.14,0.91,2.3,161.61,1701.04,-19.65,22.1189,12.3348,7.6829,5.0,,106531.99,54.65,Metals / Mining,25.0,20.0,11.0,9.0,9.0,74.0,1.0,Strong ROE,Negative free cash flow,4.0,78.0,"General quality ROE, General low-debt support",49.57,4.0,Negative free cash flow,72.49,Strong,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Volume expansion, Strong positive day move, Strong ROE, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 37.3% | Currently 100.0% through the range | Above upper band on elevated volume"
