symbol,sector,industry,current_price,day_change_pct,distance_from_low_pct,distance_from_high_pct,rsi,sma50,sma200,volume_ratio,trend,technical_score,technical_reasons,relative_strength_score,return_1m,return_3m,return_6m,sector_bucket,fundamental_score,sector_adjustment,sector_adjusted_fundamental_score,debt_to_equity,net_profit_margin,revenue_growth,earnings_growth,operating_cashflow_cr,free_cashflow_cr,fundamental_data_coverage,sector_score,risk_penalty,risk_reasons,final_score,score_band,reasons
PIDILITIND,Others,,1483.8,2.64,17.86,5.79,64.58,1380.51,1462.15,1.07,Bullish,80.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone, Normal volume support, Strong positive day move",0.0,,,,Chemicals,45.0,2.0,47.0,3.78,17.2,21.3,29.6,,,0.57,29.88,0.0,,40.93,Weak,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone, Normal volume support, Strong positive day move"
HAL,Defence,,4608.0,-0.23,32.45,9.74,62.31,4129.02,4391.11,2.78,Bullish,75.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong volume expansion",0.0,,,,Capital Goods / Infra,56.0,0.0,56.0,0.16,27.55,1.8,5.5,10906.38,-14387.13,1.0,34.32,4.0,Negative free cash flow,39.5,Weak,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong volume expansion"
ASIANPAINT,Others,,2622.2,0.18,23.98,12.17,65.38,2357.57,2528.41,0.96,Bullish,70.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone, Positive day move",0.0,,,,Chemicals,44.0,2.0,46.0,17.85,12.81,17.9,39.9,,,0.57,29.88,0.0,,38.08,Weak,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone, Positive day move"
ONGC,Others,,300.9,1.26,37.13,2.15,62.77,281.8,248.31,1.27,Bullish,70.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support, Positive day move",0.0,,,,Energy / Utilities,43.0,2.0,45.0,42.55,6.18,25.7,21.4,,,0.57,29.88,0.0,,37.73,Weak,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support, Positive day move"
SUNPHARMA,Others,,1863.2,2.1,21.14,1.2,63.21,1760.69,1699.62,0.45,Bullish,75.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone, Strong positive day move",0.0,,,,Pharma / Healthcare,47.0,2.0,49.0,5.52,20.19,10.5,27.4,,,0.57,29.88,3.0,Low volume participation,37.38,Weak,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone, Strong positive day move"
ADANIPORTS,Others,,1773.4,2.05,37.42,1.04,67.85,1516.49,1459.79,0.86,Bullish,70.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong positive day move",0.0,,,,Capital Goods / Infra,35.0,5.0,40.0,64.05,32.43,18.6,2.4,,,0.57,29.88,0.0,,35.98,Weak,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong positive day move"
NESTLEIND,Others,,1459.6,-0.63,35.29,2.57,68.76,1306.03,1249.3,0.47,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",0.0,,,,FMCG / Consumer,47.0,3.0,50.0,8.62,15.62,25.2,48.1,,,0.57,29.88,3.0,Low volume participation,33.98,Avoid,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum"
COALINDIA,Others,,454.05,-1.77,31.27,7.57,46.42,453.45,402.54,1.01,Bullish,47.0,"Above 50 DMA, Above 200 DMA, RSI recovering, Normal volume support",0.0,,,,Metals / Mining,48.0,2.0,50.0,11.63,18.14,45.1,1.2,,,0.57,29.88,0.0,,33.73,Avoid,"Above 50 DMA, Above 200 DMA, RSI recovering, Normal volume support"
TCS,IT,,2246.0,-1.18,1.79,35.46,26.65,2464.51,2885.01,1.53,Bearish,19.0,"Oversold RSI, Near 52W low zone, Volume expansion",0.0,,,,IT / Technology,79.0,10.0,89.0,10.21,18.05,13.9,4.6,52346.0,39716.5,1.0,32.6,8.0,Below 200 DMA,32.79,Avoid,"Oversold RSI, Near 52W low zone, Volume expansion"
TATASTEEL,Others,,221.13,0.69,49.86,0.79,66.26,203.97,182.76,1.44,Bullish,75.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Volume expansion, Positive day move",0.0,,,,Metals / Mining,27.0,0.0,27.0,89.02,4.6,14.3,11.4,,,0.57,29.88,0.0,,32.68,Avoid,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Volume expansion, Positive day move"
INFY,IT,,1095.0,-2.5,0.55,36.63,27.11,1248.38,1447.5,1.34,Bearish,19.0,"Oversold RSI, Near 52W low zone, Volume expansion",0.0,,,,IT / Technology,74.0,10.0,84.0,9.54,16.37,2.9,5.3,409.2,316.56,1.0,32.6,8.0,Below 200 DMA,31.04,Avoid,"Oversold RSI, Near 52W low zone, Volume expansion"
NTPC,Others,,396.3,1.5,26.58,4.37,53.15,386.17,347.42,0.79,Bullish,65.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive day move",0.0,,,,Energy / Utilities,29.0,0.0,29.0,118.13,14.53,8.0,-1.6,,,0.57,29.88,0.0,,30.88,Avoid,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive day move"
ADANIENT,Others,,2712.9,8.6,54.76,0.26,75.47,2152.03,2283.53,3.37,Bullish,72.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Strong volume expansion, Strong positive day move",0.0,,,,Metals / Mining,24.0,0.0,24.0,119.56,6.55,49.9,,,,0.5,29.88,0.0,,30.88,Avoid,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Strong volume expansion, Strong positive day move"
BEL,Defence,,428.85,0.14,29.05,9.42,45.35,437.46,413.02,0.83,Bearish,32.0,"Above 200 DMA, RSI recovering, Positive day move",0.0,,,,Capital Goods / Infra,43.0,5.0,48.0,0.27,21.4,24.9,8.3,,,0.57,34.32,0.0,,29.95,Avoid,"Above 200 DMA, RSI recovering, Positive day move"
LT,Others,,3940.4,0.63,19.84,11.25,48.76,3860.46,3869.84,1.1,Bullish,57.0,"Above 50 DMA, Above 200 DMA, RSI recovering, Near 52W low zone, Normal volume support, Positive day move",0.0,,,,Capital Goods / Infra,28.0,0.0,28.0,97.64,5.59,8.1,14.0,,,0.57,29.88,0.0,,28.53,Avoid,"Above 50 DMA, Above 200 DMA, RSI recovering, Near 52W low zone, Normal volume support, Positive day move"
AXISBANK,Others,,1254.6,-0.09,20.35,11.54,41.35,1283.09,1230.56,0.86,Bearish,28.0,"Above 200 DMA, Weak but watchable RSI, Near 52W low zone",0.0,,,,Banking,44.0,0.0,44.0,,36.03,14.0,21.8,,,0.64,29.88,0.0,,26.88,Avoid,"Above 200 DMA, Weak but watchable RSI, Near 52W low zone"
DMART,Others,,4341.4,0.15,20.59,12.29,47.4,4214.22,4151.03,0.73,Bullish,52.0,"Above 50 DMA, Above 200 DMA, RSI recovering, Near 52W low zone, Positive day move",0.0,,,,General,22.0,2.0,24.0,9.91,4.29,14.9,11.4,,,0.5,29.88,0.0,,25.88,Avoid,"Above 50 DMA, Above 200 DMA, RSI recovering, Near 52W low zone, Positive day move"
WIPRO,Others,,188.3,0.27,0.97,29.27,31.8,197.98,230.13,0.82,Bearish,21.0,"Weak but watchable RSI, Near 52W low with stable RSI, Positive day move",0.0,,,,IT / Technology,68.0,0.0,68.0,27.4,13.92,10.6,0.9,14107.7,10850.81,1.0,29.88,8.0,Below 200 DMA,25.53,Avoid,"Weak but watchable RSI, Near 52W low with stable RSI, Positive day move"
POWERGRID,Others,,301.75,0.08,22.06,7.14,36.51,305.34,281.89,1.5,Bearish,43.0,"Above 200 DMA, Weak but watchable RSI, Near 52W low zone, Volume expansion, Positive day move",0.0,,,,Energy / Utilities,24.0,0.0,24.0,150.81,33.8,2.7,-0.8,,,0.57,29.88,0.0,,23.63,Avoid,"Above 200 DMA, Weak but watchable RSI, Near 52W low zone, Volume expansion, Positive day move"
KOTAKBANK,Others,,383.2,1.47,10.91,15.45,54.75,377.45,407.4,0.55,Bullish,45.0,"Above 50 DMA, Healthy RSI momentum, Near 52W low zone, Positive day move",0.0,,,,Banking,43.0,0.0,43.0,,28.47,21.0,22.5,,,0.5,29.88,8.0,Below 200 DMA,22.78,Avoid,"Above 50 DMA, Healthy RSI momentum, Near 52W low zone, Positive day move"
TITAN,Others,,4135.2,1.09,25.19,10.2,41.27,4260.97,3912.96,0.74,Bearish,28.0,"Above 200 DMA, Weak but watchable RSI, Positive day move",0.0,,,,Consumer Discretionary,31.0,0.0,31.0,195.0,6.23,29.3,62.8,,,0.57,29.88,0.0,,22.33,Avoid,"Above 200 DMA, Weak but watchable RSI, Positive day move"
HDFCBANK,Banking,,769.55,2.66,5.9,24.59,45.06,798.42,928.69,1.44,Bearish,40.0,"RSI recovering, Near 52W low with stable RSI, Volume expansion, Strong positive day move",0.0,,,,Banking,46.0,0.0,46.0,,26.79,16.6,18.1,,,0.64,23.48,8.0,Below 200 DMA,21.62,Avoid,"RSI recovering, Near 52W low with stable RSI, Volume expansion, Strong positive day move"
ULTRACEMCO,Others,,11692.0,1.03,13.24,10.82,48.54,11553.6,12056.49,0.65,Bullish,37.0,"Above 50 DMA, RSI recovering, Near 52W low zone, Positive day move",0.0,,,,Cement / Realty,37.0,2.0,39.0,29.43,9.29,15.9,16.8,,,0.57,29.88,8.0,Below 200 DMA,19.38,Avoid,"Above 50 DMA, RSI recovering, Near 52W low zone, Positive day move"
TRENT,Others,,4132.4,1.17,26.16,34.0,52.13,3890.99,4400.94,0.55,Bullish,40.0,"Above 50 DMA, Healthy RSI momentum, Positive day move",0.0,,,,Consumer Discretionary,34.0,2.0,36.0,36.03,8.64,17.8,20.7,,,0.57,29.88,8.0,Below 200 DMA,19.08,Avoid,"Above 50 DMA, Healthy RSI momentum, Positive day move"
SBIN,Banking,,979.9,1.01,25.81,20.64,33.77,1069.46,975.51,0.91,Bearish,28.0,"Above 200 DMA, Weak but watchable RSI, Positive day move",0.0,,,,Banking,32.0,6.0,38.0,,22.11,7.1,-3.1,-565101.72,,0.71,23.48,5.0,Negative operating cash flow,18.82,Avoid,"Above 200 DMA, Weak but watchable RSI, Positive day move"
ICICIBANK,Banking,,1246.0,0.84,4.92,16.29,40.44,1289.17,1366.58,0.95,Bearish,21.0,"Weak but watchable RSI, Near 52W low with stable RSI, Positive day move",0.0,,,,Banking,41.0,6.0,47.0,,27.53,11.4,13.8,,,0.64,23.48,8.0,Below 200 DMA,17.22,Avoid,"Weak but watchable RSI, Near 52W low with stable RSI, Positive day move"
ITC,Others,,307.2,0.9,7.04,28.09,50.98,304.25,360.18,0.62,Bullish,48.0,"Above 50 DMA, Healthy RSI momentum, Near 52W low with stable RSI, Positive day move",0.0,,,,FMCG / Consumer,36.0,3.0,39.0,3.29,25.94,-11.1,-16.0,,,0.57,29.88,15.0,"Below 200 DMA, Earnings contraction",15.13,Avoid,"Above 50 DMA, Healthy RSI momentum, Near 52W low with stable RSI, Positive day move"
MARUTI,Others,,13075.0,-0.21,9.99,24.73,43.82,13256.88,14851.54,0.62,Bearish,16.0,"Weak but watchable RSI, Near 52W low with stable RSI",0.0,,,,Automobile,36.0,2.0,38.0,0.1,7.27,35.9,-9.1,,,0.57,29.88,8.0,Below 200 DMA,13.78,Avoid,"Weak but watchable RSI, Near 52W low with stable RSI"
BAJFINANCE,Others,,912.15,1.79,15.77,17.27,46.86,905.34,962.23,0.92,Bullish,37.0,"Above 50 DMA, RSI recovering, Near 52W low zone, Positive day move",0.0,,,,Financial Services,43.0,2.0,45.0,314.83,43.49,26.1,27.2,,,0.57,29.88,16.0,"Below 200 DMA, Very high debt",13.48,Avoid,"Above 50 DMA, RSI recovering, Near 52W low zone, Positive day move"
RELIANCE,Energy,,1361.8,0.22,5.57,15.51,43.43,1380.73,1431.52,0.91,Bearish,21.0,"Weak but watchable RSI, Near 52W low with stable RSI, Positive day move",0.0,,,,Energy / Utilities,36.0,2.0,38.0,36.65,6.61,29.7,-22.4,,,0.57,18.75,15.0,"Below 200 DMA, Earnings contraction",6.36,Avoid,"Weak but watchable RSI, Near 52W low with stable RSI, Positive day move"
