scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,19.67,47.0,2.0,100.0,25.0
2023-09-06,22.95,60.0,2.0,100.0,25.0
2023-09-07,18.02,52.0,2.0,100.0,28.0
2023-09-08,20.05,60.0,2.0,100.0,28.0
2023-09-11,20.02,60.0,2.0,100.0,28.0
2023-09-12,15.83,55.0,2.0,100.0,30.0
2023-09-13,24.87,70.0,2.0,100.0,25.0
2023-09-14,25.07,70.0,2.0,100.0,25.0
2023-09-15,19.55,60.0,2.0,100.0,28.0
2023-09-18,19.39,60.0,2.0,100.0,28.0
2023-09-20,16.75,50.0,2.0,100.0,28.0
2023-09-21,27.02,80.0,2.0,100.0,25.0
2023-09-22,18.53,60.0,2.0,98.0,28.0
2023-09-25,13.51,50.0,2.0,88.0,28.0
2023-09-26,9.05,50.0,2.0,70.0,28.0
2023-09-27,13.6,50.0,2.0,88.0,28.0
2023-09-28,9.08,50.0,2.0,70.0,28.0
2023-09-29,7.21,42.0,2.0,70.0,28.0
2023-10-03,7.38,42.0,2.0,70.0,28.0
2023-10-04,9.95,42.0,2.0,70.0,25.0
2023-10-05,18.41,75.0,2.0,70.0,25.0
2023-10-06,12.35,50.0,2.0,70.0,25.0
2023-10-09,3.62,38.0,2.0,70.0,30.0
2023-10-10,8.27,47.0,2.0,70.0,28.0
2023-10-11,15.93,65.0,2.0,70.0,25.0
2023-10-12,15.13,42.0,2.0,88.0,25.0
2023-10-13,10.5,42.0,2.0,70.0,25.0
2023-10-16,6.76,27.0,2.0,70.0,25.0
2023-10-17,11.91,47.0,2.0,70.0,25.0
2023-10-18,6.68,27.0,2.0,70.0,25.0
2023-10-19,23.31,75.0,2.0,88.0,25.0
2023-10-20,9.16,37.0,2.0,70.0,25.0
2023-10-23,0.0,33.0,2.0,60.0,30.0
2023-10-25,4.32,33.0,2.0,60.0,25.0
2023-10-26,5.65,28.0,2.0,70.0,25.0
2023-10-27,7.37,33.0,2.0,70.0,25.0
2023-10-30,4.8,23.0,2.0,70.0,25.0
2023-10-31,0.0,23.0,2.0,60.0,28.0
2023-11-01,11.93,52.0,2.0,70.0,25.0
2023-11-02,16.11,50.0,2.0,88.0,25.0
